heave,roll,IA_change
-0.0508,0.034906585,0.027925268
-0.04826,0.034906585,0.025481807
-0.04572,0.034906585,0.023212879
-0.04318,0.034906585,0.020769418
-0.04064,0.034906585,0.018325957
-0.0381,0.034906585,0.015882496
-0.03556,0.034906585,0.013439035
-0.03302,0.034906585,0.010995574
-0.03048,0.034906585,0.00837758
-0.02794,0.034906585,0.005934119
-0.0254,0.034906585,0.003316126
-0.02286,0.034906585,0.000872665
-0.02032,0.034906585,-0.001745329
-0.01778,0.034906585,-0.004363323
-0.01524,0.034906585,-0.006981317
-0.0127,0.034906585,-0.009599311
-0.01016,0.034906585,-0.012217305
-0.00762,0.034906585,-0.015009832
-0.00508,0.034906585,-0.017627825
-0.00254,0.034906585,-0.020420352
0,0.034906585,-0.023212879
0.00254,0.034906585,-0.026005406
0.00508,0.034906585,-0.028797933
0.00762,0.034906585,-0.031590459
0.01016,0.034906585,-0.034382986
0.0127,0.034906585,-0.037175513
0.01524,0.034906585,-0.040142573
0.01778,0.034906585,-0.043109633
0.02032,0.034906585,-0.046076692
0.02286,0.034906585,-0.049043752
0.0254,0.034906585,-0.052010812
0.02794,0.034906585,-0.054977871
0.03048,0.034906585,-0.057944931
0.03302,0.034906585,-0.061086524
0.03556,0.034906585,-0.064228116
0.0381,0.034906585,-0.067369709
0.04064,0.034906585,-0.070511302
0.04318,0.034906585,-0.073652894
0.04572,0.034906585,-0.07696902
0.04826,0.034906585,-0.080110613
0.0508,0.034906585,-0.083426738
-0.0508,0.033161256,0.028972466
-0.04826,0.033161256,0.026529005
-0.04572,0.033161256,0.024260077
-0.04318,0.033161256,0.021816616
-0.04064,0.033161256,0.019373155
-0.0381,0.033161256,0.016929694
-0.03556,0.033161256,0.014486233
-0.03302,0.033161256,0.012042772
-0.03048,0.033161256,0.009599311
-0.02794,0.033161256,0.006981317
-0.0254,0.033161256,0.004537856
-0.02286,0.033161256,0.001919862
-0.02032,0.033161256,-0.000698132
-0.01778,0.033161256,-0.003316126
-0.01524,0.033161256,-0.005759587
-0.0127,0.033161256,-0.008552113
-0.01016,0.033161256,-0.011170107
-0.00762,0.033161256,-0.013788101
-0.00508,0.033161256,-0.016580628
-0.00254,0.033161256,-0.019198622
0,0.033161256,-0.021991149
0.00254,0.033161256,-0.024783675
0.00508,0.033161256,-0.027576202
0.00762,0.033161256,-0.030368729
0.01016,0.033161256,-0.033161256
0.0127,0.033161256,-0.035953783
0.01524,0.033161256,-0.038920842
0.01778,0.033161256,-0.041713369
0.02032,0.033161256,-0.044680429
0.02286,0.033161256,-0.047647489
0.0254,0.033161256,-0.050614548
0.02794,0.033161256,-0.053756141
0.03048,0.033161256,-0.056723201
0.03302,0.033161256,-0.059864793
0.03556,0.033161256,-0.062831853
0.0381,0.033161256,-0.065973446
0.04064,0.033161256,-0.069115038
0.04318,0.033161256,-0.072256631
0.04572,0.033161256,-0.075572757
0.04826,0.033161256,-0.078714349
0.0508,0.033161256,-0.082030475
-0.0508,0.031415927,0.030019663
-0.04826,0.031415927,0.027576202
-0.04572,0.031415927,0.025307274
-0.04318,0.031415927,0.022863813
-0.04064,0.031415927,0.020420352
-0.0381,0.031415927,0.017976891
-0.03556,0.031415927,0.01553343
-0.03302,0.031415927,0.013089969
-0.03048,0.031415927,0.010646508
-0.02794,0.031415927,0.008028515
-0.0254,0.031415927,0.005585054
-0.02286,0.031415927,0.00296706
-0.02032,0.031415927,0.000523599
-0.01778,0.031415927,-0.002094395
-0.01524,0.031415927,-0.004712389
-0.0127,0.031415927,-0.007330383
-0.01016,0.031415927,-0.009948377
-0.00762,0.031415927,-0.012566371
-0.00508,0.031415927,-0.015358897
-0.00254,0.031415927,-0.017976891
0,0.031415927,-0.020769418
0.00254,0.031415927,-0.023561945
0.00508,0.031415927,-0.026354472
0.00762,0.031415927,-0.029146999
0.01016,0.031415927,-0.031939525
0.0127,0.031415927,-0.034732052
0.01524,0.031415927,-0.037699112
0.01778,0.031415927,-0.040491639
0.02032,0.031415927,-0.043458698
0.02286,0.031415927,-0.046425758
0.0254,0.031415927,-0.049392818
0.02794,0.031415927,-0.052359878
0.03048,0.031415927,-0.05550147
0.03302,0.031415927,-0.05846853
0.03556,0.031415927,-0.061610123
0.0381,0.031415927,-0.064577182
0.04064,0.031415927,-0.067718775
0.04318,0.031415927,-0.071034901
0.04572,0.031415927,-0.074176493
0.04826,0.031415927,-0.077318086
0.0508,0.031415927,-0.080634211
-0.0508,0.029670597,0.031066861
-0.04826,0.029670597,0.0286234
-0.04572,0.029670597,0.026354472
-0.04318,0.029670597,0.023911011
-0.04064,0.029670597,0.02146755
-0.0381,0.029670597,0.019024089
-0.03556,0.029670597,0.016580628
-0.03302,0.029670597,0.014137167
-0.03048,0.029670597,0.011693706
-0.02794,0.029670597,0.009250245
-0.0254,0.029670597,0.006632251
-0.02286,0.029670597,0.00418879
-0.02032,0.029670597,0.001570796
-0.01778,0.029670597,-0.001047198
-0.01524,0.029670597,-0.003490659
-0.0127,0.029670597,-0.006108652
-0.01016,0.029670597,-0.008901179
-0.00762,0.029670597,-0.011519173
-0.00508,0.029670597,-0.014137167
-0.00254,0.029670597,-0.016929694
0,0.029670597,-0.019547688
0.00254,0.029670597,-0.022340214
0.00508,0.029670597,-0.025132741
0.00762,0.029670597,-0.027925268
0.01016,0.029670597,-0.030717795
0.0127,0.029670597,-0.033510322
0.01524,0.029670597,-0.036477381
0.01778,0.029670597,-0.039269908
0.02032,0.029670597,-0.042236968
0.02286,0.029670597,-0.045204028
0.0254,0.029670597,-0.048171087
0.02794,0.029670597,-0.051138147
0.03048,0.029670597,-0.054105207
0.03302,0.029670597,-0.057246799
0.03556,0.029670597,-0.060213859
0.0381,0.029670597,-0.063355452
0.04064,0.029670597,-0.066497045
0.04318,0.029670597,-0.069638637
0.04572,0.029670597,-0.07278023
0.04826,0.029670597,-0.076096355
0.0508,0.029670597,-0.079237948
-0.0508,0.027925268,0.032114058
-0.04826,0.027925268,0.029670597
-0.04572,0.027925268,0.027401669
-0.04318,0.027925268,0.024958208
-0.04064,0.027925268,0.022514747
-0.0381,0.027925268,0.020071286
-0.03556,0.027925268,0.017627825
-0.03302,0.027925268,0.015184364
-0.03048,0.027925268,0.012740904
-0.02794,0.027925268,0.010297443
-0.0254,0.027925268,0.007853982
-0.02286,0.027925268,0.005235988
-0.02032,0.027925268,0.002792527
-0.01778,0.027925268,0.000174533
-0.01524,0.027925268,-0.002443461
-0.0127,0.027925268,-0.005061455
-0.01016,0.027925268,-0.007679449
-0.00762,0.027925268,-0.010297443
-0.00508,0.027925268,-0.012915436
-0.00254,0.027925268,-0.015707963
0,0.027925268,-0.018325957
0.00254,0.027925268,-0.021118484
0.00508,0.027925268,-0.023911011
0.00762,0.027925268,-0.026703538
0.01016,0.027925268,-0.029496064
0.0127,0.027925268,-0.032288591
0.01524,0.027925268,-0.035081118
0.01778,0.027925268,-0.038048178
0.02032,0.027925268,-0.041015237
0.02286,0.027925268,-0.043807764
0.0254,0.027925268,-0.046774824
0.02794,0.027925268,-0.049741884
0.03048,0.027925268,-0.052883476
0.03302,0.027925268,-0.055850536
0.03556,0.027925268,-0.058992129
0.0381,0.027925268,-0.061959188
0.04064,0.027925268,-0.065100781
0.04318,0.027925268,-0.068242374
0.04572,0.027925268,-0.071383966
0.04826,0.027925268,-0.074700092
0.0508,0.027925268,-0.077841685
-0.0508,0.026179939,0.032986723
-0.04826,0.026179939,0.030717795
-0.04572,0.026179939,0.028448867
-0.04318,0.026179939,0.026005406
-0.04064,0.026179939,0.023561945
-0.0381,0.026179939,0.021118484
-0.03556,0.026179939,0.018849556
-0.03302,0.026179939,0.016406095
-0.03048,0.026179939,0.013788101
-0.02794,0.026179939,0.01134464
-0.0254,0.026179939,0.008901179
-0.02286,0.026179939,0.006457718
-0.02032,0.026179939,0.003839724
-0.01778,0.026179939,0.00122173
-0.01524,0.026179939,-0.00122173
-0.0127,0.026179939,-0.003839724
-0.01016,0.026179939,-0.006457718
-0.00762,0.026179939,-0.009075712
-0.00508,0.026179939,-0.011868239
-0.00254,0.026179939,-0.014486233
0,0.026179939,-0.01727876
0.00254,0.026179939,-0.019896753
0.00508,0.026179939,-0.02268928
0.00762,0.026179939,-0.025481807
0.01016,0.026179939,-0.028274334
0.0127,0.026179939,-0.031066861
0.01524,0.026179939,-0.033859387
0.01778,0.026179939,-0.036826447
0.02032,0.026179939,-0.039618974
0.02286,0.026179939,-0.042586034
0.0254,0.026179939,-0.045553093
0.02794,0.026179939,-0.048520153
0.03048,0.026179939,-0.051487213
0.03302,0.026179939,-0.054628806
0.03556,0.026179939,-0.057595865
0.0381,0.026179939,-0.060737458
0.04064,0.026179939,-0.063879051
0.04318,0.026179939,-0.06684611
0.04572,0.026179939,-0.070162236
0.04826,0.026179939,-0.073303829
0.0508,0.026179939,-0.076445421
-0.0508,0.02443461,0.03403392
-0.04826,0.02443461,0.031764992
-0.04572,0.02443461,0.029321531
-0.04318,0.02443461,0.027052603
-0.04064,0.02443461,0.024609142
-0.0381,0.02443461,0.022340214
-0.03556,0.02443461,0.019896753
-0.03302,0.02443461,0.017453293
-0.03048,0.02443461,0.015009832
-0.02794,0.02443461,0.012566371
-0.0254,0.02443461,0.009948377
-0.02286,0.02443461,0.007504916
-0.02032,0.02443461,0.004886922
-0.01778,0.02443461,0.002443461
-0.01524,0.02443461,-0.000174533
-0.0127,0.02443461,-0.002792527
-0.01016,0.02443461,-0.005410521
-0.00762,0.02443461,-0.008028515
-0.00508,0.02443461,-0.010646508
-0.00254,0.02443461,-0.013264502
0,0.02443461,-0.016057029
0.00254,0.02443461,-0.018675023
0.00508,0.02443461,-0.02146755
0.00762,0.02443461,-0.024260077
0.01016,0.02443461,-0.027052603
0.0127,0.02443461,-0.02984513
0.01524,0.02443461,-0.032637657
0.01778,0.02443461,-0.035604717
0.02032,0.02443461,-0.038397244
0.02286,0.02443461,-0.041364303
0.0254,0.02443461,-0.044331363
0.02794,0.02443461,-0.047298423
0.03048,0.02443461,-0.050265482
0.03302,0.02443461,-0.053232542
0.03556,0.02443461,-0.056374135
0.0381,0.02443461,-0.059341195
0.04064,0.02443461,-0.062482787
0.04318,0.02443461,-0.06562438
0.04572,0.02443461,-0.068765973
0.04826,0.02443461,-0.071907565
0.0508,0.02443461,-0.075223691
-0.0508,0.02268928,0.035081118
-0.04826,0.02268928,0.03281219
-0.04572,0.02268928,0.030368729
-0.04318,0.02268928,0.028099801
-0.04064,0.02268928,0.02565634
-0.0381,0.02268928,0.023387412
-0.03556,0.02268928,0.020943951
-0.03302,0.02268928,0.01850049
-0.03048,0.02268928,0.016057029
-0.02794,0.02268928,0.013613568
-0.0254,0.02268928,0.010995574
-0.02286,0.02268928,0.008552113
-0.02032,0.02268928,0.006108652
-0.01778,0.02268928,0.003490659
-0.01524,0.02268928,0.000872665
-0.0127,0.02268928,-0.001570796
-0.01016,0.02268928,-0.00418879
-0.00762,0.02268928,-0.006806784
-0.00508,0.02268928,-0.009424778
-0.00254,0.02268928,-0.012217305
0,0.02268928,-0.014835299
0.00254,0.02268928,-0.017627825
0.00508,0.02268928,-0.020245819
0.00762,0.02268928,-0.023038346
0.01016,0.02268928,-0.025830873
0.0127,0.02268928,-0.0286234
0.01524,0.02268928,-0.031415927
0.01778,0.02268928,-0.034382986
0.02032,0.02268928,-0.037175513
0.02286,0.02268928,-0.040142573
0.0254,0.02268928,-0.043109633
0.02794,0.02268928,-0.045902159
0.03048,0.02268928,-0.049043752
0.03302,0.02268928,-0.052010812
0.03556,0.02268928,-0.054977871
0.0381,0.02268928,-0.058119464
0.04064,0.02268928,-0.061086524
0.04318,0.02268928,-0.064228116
0.04572,0.02268928,-0.067369709
0.04826,0.02268928,-0.070511302
0.0508,0.02268928,-0.073827427
-0.0508,0.020943951,0.036128316
-0.04826,0.020943951,0.033859387
-0.04572,0.020943951,0.031415927
-0.04318,0.020943951,0.029146999
-0.04064,0.020943951,0.026703538
-0.0381,0.020943951,0.02443461
-0.03556,0.020943951,0.021991149
-0.03302,0.020943951,0.019547688
-0.03048,0.020943951,0.017104227
-0.02794,0.020943951,0.014660766
-0.0254,0.020943951,0.012217305
-0.02286,0.020943951,0.009599311
-0.02032,0.020943951,0.00715585
-0.01778,0.020943951,0.004537856
-0.01524,0.020943951,0.002094395
-0.0127,0.020943951,-0.000523599
-0.01016,0.020943951,-0.003141593
-0.00762,0.020943951,-0.005759587
-0.00508,0.020943951,-0.00837758
-0.00254,0.020943951,-0.010995574
0,0.020943951,-0.013613568
0.00254,0.020943951,-0.016406095
0.00508,0.020943951,-0.019198622
0.00762,0.020943951,-0.021816616
0.01016,0.020943951,-0.024609142
0.0127,0.020943951,-0.027401669
0.01524,0.020943951,-0.030194196
0.01778,0.020943951,-0.033161256
0.02032,0.020943951,-0.035953783
0.02286,0.020943951,-0.038920842
0.0254,0.020943951,-0.041713369
0.02794,0.020943951,-0.044680429
0.03048,0.020943951,-0.047647489
0.03302,0.020943951,-0.050614548
0.03556,0.020943951,-0.053756141
0.0381,0.020943951,-0.056723201
0.04064,0.020943951,-0.059864793
0.04318,0.020943951,-0.063006386
0.04572,0.020943951,-0.066147979
0.04826,0.020943951,-0.069289571
0.0508,0.020943951,-0.072431164
-0.0508,0.019198622,0.037175513
-0.04826,0.019198622,0.034732052
-0.04572,0.019198622,0.032463124
-0.04318,0.019198622,0.030194196
-0.04064,0.019198622,0.027750735
-0.0381,0.019198622,0.025481807
-0.03556,0.019198622,0.023038346
-0.03302,0.019198622,0.020594885
-0.03048,0.019198622,0.018151424
-0.02794,0.019198622,0.015707963
-0.0254,0.019198622,0.013264502
-0.02286,0.019198622,0.010821041
-0.02032,0.019198622,0.008203047
-0.01778,0.019198622,0.005759587
-0.01524,0.019198622,0.003141593
-0.0127,0.019198622,0.000698132
-0.01016,0.019198622,-0.001919862
-0.00762,0.019198622,-0.004537856
-0.00508,0.019198622,-0.00715585
-0.00254,0.019198622,-0.009948377
0,0.019198622,-0.012566371
0.00254,0.019198622,-0.015184364
0.00508,0.019198622,-0.017976891
0.00762,0.019198622,-0.020769418
0.01016,0.019198622,-0.023387412
0.0127,0.019198622,-0.026179939
0.01524,0.019198622,-0.028972466
0.01778,0.019198622,-0.031939525
0.02032,0.019198622,-0.034732052
0.02286,0.019198622,-0.037699112
0.0254,0.019198622,-0.040491639
0.02794,0.019198622,-0.043458698
0.03048,0.019198622,-0.046425758
0.03302,0.019198622,-0.049392818
0.03556,0.019198622,-0.052359878
0.0381,0.019198622,-0.05550147
0.04064,0.019198622,-0.05846853
0.04318,0.019198622,-0.061610123
0.04572,0.019198622,-0.064751715
0.04826,0.019198622,-0.067893308
0.0508,0.019198622,-0.071034901
-0.0508,0.017453293,0.038048178
-0.04826,0.017453293,0.03577925
-0.04572,0.017453293,0.033510322
-0.04318,0.017453293,0.031241394
-0.04064,0.017453293,0.028797933
-0.0381,0.017453293,0.026354472
-0.03556,0.017453293,0.024085544
-0.03302,0.017453293,0.021642083
-0.03048,0.017453293,0.019198622
-0.02794,0.017453293,0.016755161
-0.0254,0.017453293,0.0143117
-0.02286,0.017453293,0.011868239
-0.02032,0.017453293,0.009424778
-0.01778,0.017453293,0.006806784
-0.01524,0.017453293,0.004363323
-0.0127,0.017453293,0.001745329
-0.01016,0.017453293,-0.000872665
-0.00762,0.017453293,-0.003490659
-0.00508,0.017453293,-0.006108652
-0.00254,0.017453293,-0.008726646
0,0.017453293,-0.01134464
0.00254,0.017453293,-0.014137167
0.00508,0.017453293,-0.016755161
0.00762,0.017453293,-0.019547688
0.01016,0.017453293,-0.022340214
0.0127,0.017453293,-0.024958208
0.01524,0.017453293,-0.027750735
0.01778,0.017453293,-0.030717795
0.02032,0.017453293,-0.033510322
0.02286,0.017453293,-0.036302848
0.0254,0.017453293,-0.039269908
0.02794,0.017453293,-0.042236968
0.03048,0.017453293,-0.045204028
0.03302,0.017453293,-0.048171087
0.03556,0.017453293,-0.051138147
0.0381,0.017453293,-0.054105207
0.04064,0.017453293,-0.057246799
0.04318,0.017453293,-0.060213859
0.04572,0.017453293,-0.063355452
0.04826,0.017453293,-0.066497045
0.0508,0.017453293,-0.069638637
-0.0508,0.015707963,0.039095375
-0.04826,0.015707963,0.036826447
-0.04572,0.015707963,0.034557519
-0.04318,0.015707963,0.032114058
-0.04064,0.015707963,0.02984513
-0.0381,0.015707963,0.027401669
-0.03556,0.015707963,0.025132741
-0.03302,0.015707963,0.02268928
-0.03048,0.015707963,0.020245819
-0.02794,0.015707963,0.017802358
-0.0254,0.015707963,0.015358897
-0.02286,0.015707963,0.012915436
-0.02032,0.015707963,0.010471976
-0.01778,0.015707963,0.007853982
-0.01524,0.015707963,0.005410521
-0.0127,0.015707963,0.002792527
-0.01016,0.015707963,0.000349066
-0.00762,0.015707963,-0.002268928
-0.00508,0.015707963,-0.004886922
-0.00254,0.015707963,-0.007504916
0,0.015707963,-0.010297443
0.00254,0.015707963,-0.012915436
0.00508,0.015707963,-0.01553343
0.00762,0.015707963,-0.018325957
0.01016,0.015707963,-0.021118484
0.0127,0.015707963,-0.023911011
0.01524,0.015707963,-0.026703538
0.01778,0.015707963,-0.029496064
0.02032,0.015707963,-0.032288591
0.02286,0.015707963,-0.035081118
0.0254,0.015707963,-0.038048178
0.02794,0.015707963,-0.041015237
0.03048,0.015707963,-0.043807764
0.03302,0.015707963,-0.046774824
0.03556,0.015707963,-0.049916417
0.0381,0.015707963,-0.052883476
0.04064,0.015707963,-0.055850536
0.04318,0.015707963,-0.058992129
0.04572,0.015707963,-0.062133721
0.04826,0.015707963,-0.065275314
0.0508,0.015707963,-0.068416907
-0.0508,0.013962634,0.040142573
-0.04826,0.013962634,0.037873645
-0.04572,0.013962634,0.035604717
-0.04318,0.013962634,0.033161256
-0.04064,0.013962634,0.030892328
-0.0381,0.013962634,0.028448867
-0.03556,0.013962634,0.026179939
-0.03302,0.013962634,0.023736478
-0.03048,0.013962634,0.021293017
-0.02794,0.013962634,0.018849556
-0.0254,0.013962634,0.016406095
-0.02286,0.013962634,0.013962634
-0.02032,0.013962634,0.011519173
-0.01778,0.013962634,0.009075712
-0.01524,0.013962634,0.006457718
-0.0127,0.013962634,0.004014257
-0.01016,0.013962634,0.001396263
-0.00762,0.013962634,-0.00122173
-0.00508,0.013962634,-0.003839724
-0.00254,0.013962634,-0.006457718
0,0.013962634,-0.009075712
0.00254,0.013962634,-0.011693706
0.00508,0.013962634,-0.014486233
0.00762,0.013962634,-0.017104227
0.01016,0.013962634,-0.019896753
0.0127,0.013962634,-0.02268928
0.01524,0.013962634,-0.025481807
0.01778,0.013962634,-0.028274334
0.02032,0.013962634,-0.031066861
0.02286,0.013962634,-0.033859387
0.0254,0.013962634,-0.036826447
0.02794,0.013962634,-0.039618974
0.03048,0.013962634,-0.042586034
0.03302,0.013962634,-0.045553093
0.03556,0.013962634,-0.048520153
0.0381,0.013962634,-0.051487213
0.04064,0.013962634,-0.054628806
0.04318,0.013962634,-0.057595865
0.04572,0.013962634,-0.060737458
0.04826,0.013962634,-0.063879051
0.0508,0.013962634,-0.067020643
-0.0508,0.012217305,0.041015237
-0.04826,0.012217305,0.038746309
-0.04572,0.012217305,0.036477381
-0.04318,0.012217305,0.034208453
-0.04064,0.012217305,0.031939525
-0.0381,0.012217305,0.029496064
-0.03556,0.012217305,0.027227136
-0.03302,0.012217305,0.024783675
-0.03048,0.012217305,0.022340214
-0.02794,0.012217305,0.019896753
-0.0254,0.012217305,0.017453293
-0.02286,0.012217305,0.015009832
-0.02032,0.012217305,0.012566371
-0.01778,0.012217305,0.01012291
-0.01524,0.012217305,0.007679449
-0.0127,0.012217305,0.005061455
-0.01016,0.012217305,0.002443461
-0.00762,0.012217305,0
-0.00508,0.012217305,-0.002617994
-0.00254,0.012217305,-0.005235988
0,0.012217305,-0.007853982
0.00254,0.012217305,-0.010646508
0.00508,0.012217305,-0.013264502
0.00762,0.012217305,-0.016057029
0.01016,0.012217305,-0.018675023
0.0127,0.012217305,-0.02146755
0.01524,0.012217305,-0.024260077
0.01778,0.012217305,-0.027052603
0.02032,0.012217305,-0.02984513
