,Wheel RPM,Peak Axle Fx
0,1468.723558733244,4970.273304068939
1,1490.3846212673452,4981.252798350717
2,1512.0561332267037,4992.295792657577
3,1533.731404866061,5003.392999012765
4,1555.40328547506,5014.534668380817
5,1577.0642140095074,5025.710631998766
6,1598.7062728576927,5036.910347736927
7,1620.3212448070924,5048.122951367369
8,1611.4827157143427,5037.706257030713
9,1620.5864450664685,5040.101810508162
10,1641.1476681929198,5050.698423234029
11,1661.6675729415656,5061.291066037694
12,1682.1391891403234,5071.87032910444
13,1702.5554496965972,5082.426699067838
14,1722.9092317612474,5092.950602774207
15,1743.193401958528,5103.432448814079
16,1763.400826645182,5113.862650259031
17,1783.524418175699,5124.231672781776
18,1803.557183619284,5134.530085762529
19,1823.4922735069656,5144.748611925997
20,1843.3230253299298,5154.878174643812
21,1380.5948123181902,4923.472108554163
22,1402.5069846140061,4934.337876169265
23,1424.4452299362902,4945.30003605353
24,1446.4047380990096,4956.350923789449
25,1468.3800694137742,4967.482294197076
26,1490.3651869882335,4978.685338666775
27,1512.3534960327231,4989.950710352003
28,1534.3378893899737,5001.268556827121
29,1556.3107989295888,5012.628560022567
30,1578.2642529090454,5024.0199834803
31,1600.189936292168,5035.431724756848
32,1621.2762065859304,5046.014154962781
33,1610.6522258003156,5034.64435770316
34,1621.8350409472298,5038.541283008583
35,1642.6386860817133,5049.325095967987
36,1663.3927403363307,5060.101104962416
37,1684.08996324291,5070.8594952513085
38,1704.7230559371583,5081.590377653577
39,1725.284722678142,5092.283844427285
40,1745.7676830576745,5102.929994440124
41,1766.1646855317001,5113.518959493766
42,1289.975660978421,4876.588876281804
43,1312.1306994898907,4887.222343188961
44,1334.3191534597938,4897.979555800135
45,1356.538753080211,4908.854828007391
46,1378.7864654367452,4919.841846365586
47,1401.0585143716598,4930.933666082537
48,1423.350405285525,4942.122713338711
49,1445.6569546286191,4953.400794052439
50,1467.972324740091,4964.759109600098
51,1490.290062458133,4976.188278623847
52,1512.6031451042868,4987.678367316593
53,1534.9040330891387,4999.218927793873
54,1557.184728589842,5010.799044215723
55,1579.4368402417997,5022.407386557122
56,1601.651650512463,5034.032269588693
57,1619.8151557011156,5042.819141703676
58,1609.71740127286,5031.60065460945
59,1623.0517256612852,5037.052830417042
60,1644.1018166987851,5048.024124246886
61,1665.0934891812194,5058.9834569862705
62,1686.0192680800674,5069.920616879224
63,1196.6096642126895,4830.059885977838
64,1219.0405791788178,4840.360824705181
65,1241.5008198568592,4850.806257783695
66,1263.9913119146904,4861.392589712791
67,1286.5121039945848,4872.11562388943
68,1309.0623799134416,4882.970539748959
69,1331.6404733331722,4893.951874030614
70,1354.2438840650152,4905.053507010365
71,1376.8692995648257,4916.268654382674
72,1399.5126201593957,4927.589865482753
73,1422.1689895978516,4939.009028478363
74,1444.832831421437,4950.51738310844
75,1467.497890374057,4962.105540751956
76,1490.157278313355,4973.763511430571
77,1512.8035276104029,4985.480739817798
78,1535.4286516324266,4997.246150019852
79,1558.0242114313426,5009.048198559838
80,1580.5813883990206,5020.874935294627
81,1603.0910592120188,5032.714069532546
82,1618.7648108787957,5039.754099908826
83,1608.9176520492713,5028.759490071336
84,1100.006415029866,4784.262388063774
85,1122.8054665104996,4794.152087275377
86,1145.6144001488058,4804.20018218216
87,1168.4381201882616,4814.4050386349545
88,1191.280521616547,4824.7645109793275
89,1214.1445065293349,4835.275905542987
90,1237.0319939005967,4845.935943527675
91,1259.9439348894434,4856.74072997826
92,1282.8803291236327,4867.68572660376
93,1305.840241802151,4878.765728555839
94,1328.8218236583714,4889.974846127512
95,1351.8223325412876,4901.306491848293
96,1374.8381609950325,4912.753374341529
97,1397.864867850865,4924.307499182194
98,1420.8972157367987,4935.96017763911
99,1443.9292147512515,4947.702043755051
100,1466.9541719536112,4959.5230796992
101,1489.9647452866534,4971.412648603965
102,1512.9530053589203,4983.359537065471
103,1535.9105045134004,4995.352007038327
104,1558.8283524546466,5007.377856444241
105,999.3239077383761,4739.505773550579
106,1022.6694858177203,4748.927355475026
107,1045.9841037377366,4758.514905049069
108,1069.2779965110485,4768.268462230319
109,1092.5600855342673,4778.187664110142
110,1115.8380443870017,4788.271708075293
111,1139.1183521949429,4798.51931468081
112,1162.4063371983043,4808.928690756367
113,1185.7062121495806,4819.497492956764
114,1209.0210997576191,4830.222790255755
115,1232.3530470078347,4841.101024132758
116,1255.703044719347,4852.127975194354
117,1279.0710496880781,4863.298735122471
118,1302.456007710626,4874.6076832325225
119,1325.8558797950316,4886.048468804961
120,1349.267670149249,4897.613999439824
121,1372.6874606657316,4909.296437197602
122,1396.1104502802355,4921.087202825874
123,1419.531000239891,4932.976988495924
124,1442.9426863369424,4944.955780048029
125,1466.338357485705,4957.0128883785665
126,893.1114919443245,4696.011955590163
127,917.3695669117635,4704.947876367976
128,941.470650081976,4714.032845768738
129,965.4848982051036,4723.287252817616
130,989.4288170893875,4732.7121792659
131,1013.3170419158972,4742.308386304062
132,1037.1624926202628,4752.076278177082
133,1060.9764997886389,4762.015864317708
134,1084.7689066401435,4772.12672029995
135,1108.54815166491,4782.407947993857
136,1132.3213358451405,4792.858135447685
137,1156.0942779908999,4803.475317215241
138,1179.8715603727208,4814.256935445827
139,1203.6565647819755,4825.199801154865
140,1227.4514942026897,4836.300052383273
141,1251.2573968514814,4847.5531179039
142,1275.074195279649,4858.953688283618
143,1298.9007166149463,4870.495692448336
144,1322.734725870123,4882.172280680616
145,1346.5729619792069,4893.975814958539
146,1370.4111804490442,4905.897867841683
147,778.8065518510289,4653.90369021058
148,804.4817267165184,4662.310225572148
149,829.9192554120721,4670.884989124395
150,855.1537794787755,4679.630449879134
151,880.2158002755646,4688.548903207873
152,905.13226530715,4697.642440941441
153,929.9066811929628,4706.905135880043
154,954.5246058562974,4716.324141608832
155,979.0555746655588,4725.919634127656
156,1003.5159888255668,4735.6924002814985
157,1027.9202721378829,4745.642842781274
158,1052.2810289565127,4755.770939064451
159,1076.6091721072128,4766.076198926115
160,1100.9140266876016,4776.55762136317
161,1125.2034146722035,4787.213651194553
162,1149.4837247887733,4798.0421362988955
163,1173.7599707765173,4809.040286018138
164,1198.0358396318172,4820.204630765235
165,1222.313724091703,4831.530978976725
166,1246.59475190132,4843.014377487807
167,1270.878822778916,4854.649081536739
168,652.2324095576738,4613.3928876065875
169,680.4091209382509,4621.26392238108
170,708.0683870336277,4629.297242827444
171,735.2843878549995,4637.495938340415
172,762.1200219717032,4645.863016269465
173,788.6291469482895,4654.401379839454
174,814.858260678226,4663.11380372813
175,840.8477822144956,4672.002907187407
176,866.633039992041,4681.071124616175
177,892.2450422229526,4690.320673416036
178,917.7110807208122,4699.753518257391
179,943.0147919296361,4709.355665512604
180,968.1674018130801,4719.1234564309
181,993.2325434207698,4729.074810941183
182,1018.2264038732189,4739.210131724362
183,1043.1630763632245,4749.529362979112
184,1068.05472104437,4760.031944373221
185,1092.9116955695026,4770.71676422819
186,1117.7426615962806,4781.582112570112
187,1142.5546727818514,4792.625634949027
188,1167.3532486803674,4803.844287903077
189,503.76468097024383,4574.550429497614
190,537.0493521786872,4581.893624302464
191,569.0776941707917,4589.390906942742
192,600.0697082493467,4597.045704040807
193,630.1965781337428,4604.8614296811
194,659.5946450184898,4612.841470383069
195,688.3746160715197,4620.98916809832
196,716.627848899482,4629.30780107142
197,744.4307677275884,4637.800562405491
198,771.8480440468843,4646.470536178815
199,798.9349356854333,4655.320670968785
200,825.7390377427912,4664.353750655811
201,852.3016131407927,4673.572362402768
202,878.6586166424286,4682.978861734133
203,904.8414902282831,4692.575334214837
204,930.8777846705367,4702.3635531634345
205,956.7232259024377,4712.318046804968
206,982.4290725896764,4722.450123518743
207,1008.046390827531,4732.772781888243
208,1033.5910239686084,4743.285931946156
209,1059.076594542858,4753.98893884203
210,297.7991246334486,4536.8792806705405
211,350.8058247755674,4544.240195798466
212,394.6120550119328,4551.215869401423
213,434.8664696078522,4558.33958954104
214,472.5009329539838,4565.61493763698
215,508.1200442547859,4573.04552210245
216,542.1424029315817,4580.634967668002
217,574.872045522941,4588.386903170282
218,606.538083828078,4596.304947482058
219,637.3182867910648,4604.392693440367
220,667.3538942484462,4612.653689599995
221,696.7593376184885,4621.091419630736
222,725.6288504540064,4629.70927917794
223,754.0410993308003,4638.510550011694
224,782.062509749601,4647.4983713011525
225,809.7497056060045,4656.675707868853
226,837.1513306834702,4666.045315311747
227,864.3094293116611,4675.609701877368
228,891.2605062097729,4685.37108704833
229,918.0363460252378,4695.331355754508
230,944.664653673828,4705.492009041665
231,293.62252893270534,4534.578529354718
232,212.07777482685674,4525.490385163705
233,68.45161959436538,4516.594719935768
234,162.58952393956164,4521.240990607567
235,238.7742507535906,4527.80732469036
236,297.08493826259735,4534.510446913633
237,351.62426270659716,4542.099430749513
238,396.5794860276673,4549.299051929338
239,437.8209113604935,4556.654818074087
240,476.3387654290406,4564.170546759568
241,512.7706026140622,4571.850076890149
242,547.5554032232808,4579.697255638785
243,581.0106629644347,4587.715923504754
244,613.3748290566507,4595.9098971378435
245,644.8323922306123,4604.282949761341
246,675.5295716546734,4612.838788992142
247,705.5845653326338,4621.581031851992
248,735.0944965830059,4630.513176770758
249,764.1402652928449,4639.638572394228
250,792.7900223426333,4648.960383030691
251,821.101711343783,4658.481550605876
252,548.0811146369836,4579.408916998613
253,505.7552067332893,4569.683423242524
254,460.60900452921607,4560.14858021531
255,411.69801443961865,4550.803410975725
256,357.45825597970224,4541.646550367476
257,294.93635322246513,4532.676287685291
258,217.05063095944527,4523.89060608107
259,90.16058317155506,4515.287221183515
260,155.92722367514713,4518.726976150881
261,236.1300001511671,4525.492149163787
262,296.4876649355719,4532.401339248888
263,352.6196787129497,4540.228831676916
264,398.76244934282505,4547.662373932122
265,441.02347870963865,4555.260762316743
266,480.45432412022507,4563.028066700943
267,517.726862100262,4570.9683703970095
268,553.3011671195987,4579.085754160716
269,587.5085980782646,4587.384277883454
270,620.5971775399117,4595.867959598259
271,652.7582619669068,4604.54075160259
272,684.143132457032,4613.406513465413
273,723.6131739624417,4625.839606540637
274,689.7199378925856,4615.534202513122
275,654.8241935379203,4605.410419581008
276,618.7497886662491,4595.46923507322
277,581.2689061188539,4585.711112029212
278,542.079490556586,4576.136038042789
279,500.7680163510934,4566.74356453617
280,456.7440017941734,4557.532845134292
281,409.11470872592145,4548.502674214881
282,356.4158693604506,4539.651523104965
283,295.92402041602827,4530.977576897647
284,221.30110919498554,4522.478768097238
285,105.94501304523958,4514.152809413812
286,148.8835231648185,4516.455541286641
287,233.49701993799434,4523.427659378138
288,296.00096730326607,4530.551548052503
289,353.7912937858459,4538.628854155155
290,401.1638699533197,4546.307150380974
291,444.4802594298928,4554.159658526819
292,484.8565693270171,4562.190717580558
293,523.0004771924326,4570.404669221508
294,868.949738328315,4673.492940865212
295,839.0690951348904,4662.690745831042
296,808.6794497765557,4652.053471577405
297,777.720974454613,4641.584270561445
298,746.1212745788332,4631.2856979852995
299,713.7921463547927,4621.159739617868
300,680.6251201577803,4611.2078423064295
301,646.4851813446375,4601.430946668256
302,611.201665287678,4591.8295208692725
303,574.5546038484457,4582.4035955767995
304,536.2534031060164,4573.152799369915
305,495.9018454940645,4564.076392601878
306,452.9369248298564,4555.173302506103
307,406.51279489127285,4546.442155926787
308,355.25433486619187,4537.881310893732
309,296.63933573213,4529.488888335573
310,224.95341425639626,4521.262800736454
311,118.3907071541662,4513.200780154108
312,141.3577873698302,4514.424365321804
313,230.85687294449406,4521.612198355119
314,295.61737326772277,4528.96014393181
315,995.9035437190694,4721.538967497512
316,968.7250779257807,4710.4525379910765
317,941.2312550472249,4699.502181598802
318,913.3982145613666,4688.693118113735
319,885.1670274329065,4678.018611610167
320,856.3256768484647,4667.419023263626
321,827.0414735935269,4656.977970167053
322,797.2651827589095,4646.698381096828
323,766.9377735731716,4636.582636393834
324,735.9881082352542,4626.632594014319
325,704.3298346027352,4616.849617213446
326,671.8571209073065,4607.234603992717
327,638.4386574785759,4597.788017734338
328,603.9089803341122,4588.50991853697
329,568.0554987065453,4579.39999474948
330,530.5983122312734,4570.457594467715
331,491.157238814346,4561.681755908605
332,449.194533709948,4553.071237842716
333,403.90707252975017,4544.624548048585
334,353.99995457590677,4536.339970838816
335,297.12859102427575,4528.215593730795
336,1110.762053057786,4769.7646890457945
337,1085.327002732923,4758.4221089456905
338,1059.6630955809846,4747.186576024882
339,1033.7610345027397,4736.06505513684
340,1007.6093081997936,4725.063994580971
341,981.1938730679416,4714.189313209426
342,954.4977817380155,4703.446393162181
343,927.5007380423249,4692.840075839591
344,900.1785632793337,4682.374663092189
345,872.441923423836,4672.031545159608
346,844.1620922125638,4661.781922962745
347,815.4539558577276,4651.68764044085
348,786.2687702413144,4641.750913144872
349,756.5483391419191,4631.973476317496
350,726.2227925048403,4622.35660995047
351,695.2076034923934,4612.901165732146
352,663.39950011225,4603.607594664025
353,630.670726279683,4594.475975439123
354,596.8607601484194,4585.506042840663
355,561.7639684794252,4576.697216520875
356,525.1104667477807,4568.048627905609
357,1216.5601702621661,4817.7732507394
358,1192.5099328784327,4806.303260784994
359,1168.270388607666,4794.907646234397
360,1143.8392817088682,4783.594631985042
361,1119.2131898710218,4772.372039622287
362,1094.3873723190725,4761.247264524771
363,1069.3555935870643,4750.227253396552
364,1044.1099212776687,4739.318483836257
365,1018.6404978653622,4728.526949059882
366,992.935281518105,4717.858148178354
367,966.9797383748535,4707.317078374672
368,940.7564841511658,4696.908232614235
369,914.2448632772031,4686.635603693624
370,887.4204429599207,4676.502692564403
371,860.1725453825214,4666.482695962963
372,832.4361576703664,4656.569734468027
373,804.284370829303,4646.808477418015
374,775.668983111849,4637.200542694935
375,746.5326654710457,4627.747128495262
376,716.80682319582,4618.449037918335
377,686.4087284475764,4609.306703954667
378,1314.9364788825972,4865.0880739657405
379,1292.071646980819,4853.620441366567
380,1269.034057421895,4842.193006933111
381,1245.824962378564,4830.8146787866135
382,1222.445032541071,4819.4941232263
383,1198.89425147958,4808.239719608835
384,1175.1718020274818,4797.059523423346
385,1151.2759450234562,4785.961231277884
386,1127.2038901222484,4774.952151274567
387,1102.9516651605984,4764.039182707368
388,1078.5139710315332,4753.2287990788
389,1053.8840134700765,4742.52703168758
390,1029.0533157480174,4731.9394582144305
391,1004.0114945547684,4721.471190879192
392,978.7460094486313,4711.126871450273
393,953.2418775586218,4700.9106728845445
394,927.4813345371141,4690.826303278379
395,901.4434319743613,4680.877015091558
396,875.1035505526369,4671.065615387175
397,848.3373031466424,4661.360131840299
398,821.1267689084627,4651.771039948404
399,1406.948904314119,4911.2707308409435
400,1385.1502913685053,4899.928704796631
401,1363.1844566759946,4888.593422190647
402,1341.054170443774,4877.273850807685
403,1318.7619848772135,4865.978883294831
404,1296.310160524678,4854.717292238454
405,1273.7005876791904,4843.497686468673
406,1250.9347034090922,4832.3284679620165
407,1228.0134025147709,4821.217793613612
408,1204.9369448996945,4810.17353635365
409,1181.7048562519403,4799.203252104562
410,1158.3158230062995,4788.314149374154
411,1134.7675803324116,4777.513063145573
412,1111.0567980066903,4766.806436293951
413,1087.1789633161268,4756.200308482673
414,1063.128240565797,4745.700303052692
415,1038.8972997514868,4735.3116115417215
416,1014.477139415891,4725.0389889635
417,989.8568818487147,4714.886750744419
418,965.0235382276607,4704.858774522896
419,939.9617364169959,4694.9585061426915
420,1493.3431053174143,4955.941179852289
421,1472.5315566427068,4944.835135598285
422,1451.5537664937135,4933.704970586533
423,1430.41288264137,4922.55918350119
424,1409.1120594357826,4911.406343556305
425,1387.6544078904162,4900.255050251442
426,1366.0429430457693,4889.113893323003
427,1344.2805260311077,4877.99141166063
428,1322.369801190968,4866.896051586458
429,1300.313129206013,4855.8361260881775
430,1278.1125165224987,4844.819774385143
431,1255.7695405147406,4833.854925286135
432,1233.2852714607714,4822.949260257887
433,1210.660190057052,4812.110181130204
434,1187.894100842515,4801.344780174066
435,1164.9860407982253,4790.659813762051
436,1141.9341827564592,4780.061679805545
437,1118.7357413977215,4769.556403628926
438,1095.3868668958899,4759.149625749851
439,1071.8825180756166,4748.846588311233
440,1048.216327416546,4738.652126438286
