Roll,Yaw,Pitch,cx,cy,cz,mx,my,mz,DF,X_NORMALIZED,Y_NORMALIZED,Z_NORMALIZED,X',Y',Z',cx',cy',cz'
0.75,5,0,-0.50890404,0.095568217,-1.073733054,-0.050700989,0.27889848,-2.73E-02,134.68639,-0.36775509,-0.040558642,0.13708716,-0.50890404,0.095568217,0.13708716,-0.36775509,-0.040558642,-1.073733054
0.140224537,0.934830247,0.140224537,-0.4969002,0.01325768,-1.041395675,-0.010223632,0.33988923,-2.34E-05,130.63007,-0.367193412,-0.010635198,0.168755485,-0.496931158,0.012041538,0.168755485,-0.367166284,-0.011533827,-1.041395675
0.140224537,9.065169753,0.140224537,-0.50889373,0.14744054,-1.011939492,-0.13395536,0.32814616,-0.051195301,126.93516,-0.428309297,-0.109501751,0.147241073,-0.509253049,0.146194643,0.147241073,-0.428040023,-0.110549658,-1.011939492
1.359775463,0.934830247,0.140224537,-0.48504353,0.007357562,-1.020657459,0.009055943,0.33817303,0.034613352,128.02872,-0.387129739,-0.007545966,0.16409527,-0.485060084,0.006170455,0.16409527,-0.387110112,-0.008493396,-1.020657459
1.359775463,9.065169753,0.140224537,-0.52424437,0.15835021,-1.051955037,-0.11697671,0.29931921,-0.004462986,131.95461,-0.468757574,-0.120714544,0.138393124,-0.524630343,0.157066712,0.138393124,-0.468460737,-0.121861409,-1.051955037
0.75,0,0.75,-0.4901903,-0.015919769,-0.999837688,0.019318238,0.29349062,0.042887121,125.41714,-0.320410335,-0.001707748,0.143558713,-0.489939921,-0.022334798,0.143558713,-0.320360531,-0.005901644,-0.999837688
0.75,5,0.75,-0.50618517,0.11327229,-1.006269417,-0.029332766,0.25312015,-0.041640103,126.22392,-0.326339253,-0.008439063,0.124803077,-0.507624492,0.106636827,0.124803077,-0.326200831,-0.012709989,-1.006269417
0.75,10,0.75,-0.50395715,0.12767088,-0.948982481,-0.11979241,0.28532472,0.023860976,119.03799,-0.422300017,-0.125705808,0.12849743,-0.505585135,0.121063347,0.12849743,-0.420618399,-0.131222775,-0.948982481
1.5,5,0.75,-0.50971806,0.12103827,-0.992805102,-0.033815164,0.27176964,-0.047089402,124.53499,-0.343763153,-0.009569549,0.134432965,-0.511258733,0.114355897,0.134432965,-0.343608441,-0.01406845,-0.992805102
0.140224537,0.934830247,1.359775463,-0.48724645,0.047203552,-0.968699472,-0.019610625,0.20265716,-0.045920264,121.51124,-0.197597172,0.003377684,0.097818291,-0.488229395,0.03562774,0.097818291,-0.197621681,-0.001312314,-0.968699472
0.140224537,9.065169753,1.359775463,-0.49753064,0.1383892,-0.880463179,-0.090270899,0.25252935,-0.03741787,110.4431,-0.323314124,-0.060863666,0.113148572,-0.500674555,0.126543662,0.113148572,-0.321778763,-0.068518878,-0.880463179
1.359775463,0.934830247,1.359775463,-0.44439775,-0.044120912,-1.011661425,0.022523426,0.28004107,0.041692782,126.90028,-0.280878618,0.004257903,0.123455867,-0.443225602,-0.054654193,0.123455867,-0.280900563,-0.002408639,-1.011661425