index,RL RPM,RL Potential Fx [N],RR RPM,RR Potential Fx  [N],,Differential RPM,RL Torque Potential [Nm],RR Torque Potential [Nm],Combined Axle Torque [Nm],,,,,,,,tire radius [m]
220.00,39.00,2089.80,39.00,2074.99,,38.99740111,424.6467799,421.6389055,846.2856854,,,,,,,,0.2032
197.00,45.08,2042.39,45.08,2016.46,,45.07976471,415.0130808,409.744537,824.7576178,,,,,,,,
312.00,79.85,1874.08,79.85,1911.25,,79.84715944,380.8137332,388.3652131,769.1789463,,,,,,,,
173.00,180.79,1960.65,180.79,1911.06,,180.7858586,398.4033109,388.3269246,786.7302354,,,,,,,,
147.00,213.01,1804.58,213.01,1798.00,,213.0078843,366.6910504,365.3529599,732.0440103,,,,,,,,
148.00,231.98,1810.02,231.98,1806.57,,231.9771184,367.7956561,367.0959116,734.8915676,,,,,,,,
243.00,232.77,2079.50,232.77,2108.83,,232.7739408,422.5546127,428.5143361,851.0689488,,,,,,,,
174.00,256.56,1940.28,256.56,1941.71,,256.5622655,394.2647006,394.555986,788.8206867,,,,,,,,
289.00,265.50,1960.19,265.50,2027.74,,265.4984181,398.3103735,412.0376944,810.3480679,,,,,,,,
149.00,268.23,1812.98,268.23,1817.43,,268.2326257,368.3966091,369.302718,737.699327,,,,,,,,
313.00,269.32,1848.21,269.32,1924.90,,269.3216841,375.5557155,391.1395664,766.6952819,,,,,,,,
172.00,306.03,1970.06,306.03,1888.67,,306.0323159,400.3169347,383.7776661,784.0946008,,,,,,,,
266.00,307.19,2029.96,307.19,2097.13,,307.1871926,412.4876847,426.1373842,838.6250689,,,,,,,,
335.00,313.52,1769.86,313.52,1769.07,,313.5209237,359.6353327,359.4746647,719.1099974,,,,,,,,
150.00,323.53,1811.70,323.53,1831.25,,323.5314752,368.1371559,372.1096572,740.246813,,,,,,,,
314.00,342.65,1829.94,342.65,1929.11,,342.6544321,371.8443268,391.9956083,763.8399351,,,,,,,,
171.00,360.43,1972.56,360.43,1872.19,,360.4268691,400.8241387,380.4290181,781.2531568,,,,,,,,
311.00,366.90,1909.55,366.90,1882.77,,366.9016291,388.020908,382.5781579,770.5990659,,,,,,,,
288.00,368.32,2016.20,368.32,1974.83,,368.3167932,409.6921626,401.284623,810.9767856,,,,,,,,
170.00,387.70,1970.62,387.70,1859.59,,387.7033221,400.4299838,377.8693177,778.2993015,,,,,,,,
151.00,399.02,1804.15,399.02,1849.40,,399.0205139,366.6037025,375.797387,742.4010894,,,,,,,,
169.00,400.39,1965.73,400.39,1849.56,,400.3944175,399.4371909,375.8297621,775.2669529,,,,,,,,
196.00,404.46,2082.38,404.46,1966.37,,404.461817,423.1403921,399.5660689,822.706461,,,,,,,,
168.00,404.48,1959.15,404.48,1841.41,,404.483124,398.0990847,374.1754933,772.274578,,,,,,,,
334.00,408.48,1790.22,408.48,1758.68,,408.4772029,363.7727454,357.3633312,721.1360766,,,,,,,,
265.00,434.21,2105.96,434.21,2019.20,,434.2094809,427.9301867,410.3014199,838.2316066,,,,,,,,
126.00,450.90,1652.36,450.90,1719.33,,450.9048515,335.7591913,349.3677175,685.1269088,,,,,,,,
290.00,457.07,1917.29,457.07,2059.10,,457.0671012,389.5924052,418.4089602,808.0013655,,,,,,,,
175.00,467.37,1903.18,467.37,1983.00,,467.374304,386.7262413,402.9464846,789.6727259,,,,,,,,
127.00,467.65,1655.99,467.65,1728.23,,467.6452184,336.4971201,351.1757681,687.6728882,,,,,,,,
198.00,487.63,1978.81,487.63,2079.44,,487.6302784,402.0934749,422.5413462,824.6348211,,,,,,,,
219.00,495.36,2153.25,495.36,2001.84,,495.3631746,437.5399776,406.7747673,844.3147449,,,,,,,,
242.00,497.50,2159.18,497.50,2022.05,,497.5048426,438.7462458,410.8800072,849.626253,,,,,,,,
152.00,497.86,1786.78,497.86,1874.07,,497.8633889,363.0746087,380.8113498,743.8859585,,,,,,,,
128.00,498.04,1656.12,498.04,1739.82,,498.0408939,336.5227696,353.5312164,690.053986,,,,,,,,
195.00,521.91,2105.14,521.91,1928.84,,521.9093225,427.7651516,391.939951,819.7051026,,,,,,,,
356.00,524.96,1679.80,524.96,1612.16,,524.9600189,341.3352451,327.5917068,668.9269519,,,,,,,,
333.00,533.38,1819.20,533.38,1734.39,,533.3847084,369.661142,352.4287648,722.0899067,,,,,,,,
291.00,544.01,1885.94,544.01,2075.27,,544.0079002,383.2220837,421.6942817,804.9163655,,,,,,,,
129.00,545.68,1650.46,545.68,1754.75,,545.6804299,335.3733361,356.5661961,691.9395322,,,,,,,,
221.00,547.79,2004.60,547.79,2153.65,,547.7862716,407.3342433,437.6219857,844.9562289,,,,,,,,
267.00,558.71,1963.78,558.71,2151.25,,558.7084665,399.0405458,437.1348017,836.1753475,,,,,,,,
105.00,563.24,1509.74,563.24,1618.15,,563.2413477,306.7782926,328.8087146,635.5870072,,,,,,,,
310.00,570.19,1955.28,570.19,1834.05,,570.1868033,397.3123132,372.6793168,769.99163,,,,,,,,
194.00,583.92,2116.41,583.92,1901.33,,583.9174418,430.055068,386.3501384,816.4052064,,,,,,,,
106.00,584.80,1511.00,584.80,1627.28,,584.8025723,307.0352664,330.6633937,637.6986601,,,,,,,,
244.00,585.51,1993.98,585.51,2183.34,,585.5091044,405.1774581,443.6556692,848.8331274,,,,,,,,
292.00,589.32,1863.47,589.32,2081.42,,589.3224025,378.6563286,422.9439881,801.6003167,,,,,,,,
293.00,613.10,1847.25,613.10,2081.52,,613.0958659,375.3606297,422.9644626,798.3250923,,,,,,,,
355.00,613.46,1701.78,613.46,1593.74,,613.4610673,345.8009336,323.8477891,669.6487227,,,,,,,,
130.00,614.28,1636.30,614.28,1774.36,,614.2786246,332.4969066,360.5508653,693.0477719,,,,,,,,
193.00,618.30,2120.23,618.30,1881.23,,618.2957276,430.830394,382.2666125,813.0970065,,,,,,,,
153.00,621.63,1754.21,621.63,1907.29,,621.6287341,356.4563619,387.5603985,744.0167603,,,,,,,,
107.00,621.92,1507.46,621.92,1639.49,,621.9245674,306.3151223,333.1442459,639.4593682,,,,,,,,
84.00,631.02,1379.17,631.02,1505.69,,631.0246207,280.2464254,305.9561048,586.2025301,,,,,,,,
287.00,636.03,2080.65,636.03,1898.11,,636.029014,422.7875275,385.6961499,808.4836775,,,,,,,,
192.00,636.89,2119.29,636.89,1866.38,,636.8937338,430.6398716,379.2477017,809.8875733,,,,,,,,
191.00,646.00,2115.33,646.00,1855.01,,645.9983918,429.8342459,376.9378561,806.772102,,,,,,,,
189.00,648.81,2102.40,648.81,1838.37,,648.8101836,427.2080671,373.5558833,800.7639504,,,,,,,,
190.00,649.23,2109.44,649.23,1845.89,,649.2337936,428.6381576,375.0853403,803.7234979,,,,,,,,
218.00,649.49,2194.09,649.49,1942.81,,649.4905713,445.8397733,394.7799481,840.6197214,,,,,,,,
377.00,653.08,1572.19,653.08,1463.58,,653.0843647,319.4679958,297.3994406,616.8674363,,,,,,,,
85.00,660.08,1377.58,660.08,1514.95,,660.0756859,279.9239482,307.8378146,587.7617628,,,,,,,,
176.00,661.61,1843.27,661.61,2035.18,,661.6098369,374.5519078,413.5479773,788.0998851,,,,,,,,
63.00,676.57,1260.50,676.57,1390.36,,676.566983,256.1326106,282.5209558,538.6535664,,,,,,,,
108.00,678.09,1496.30,678.09,1655.33,,678.0945042,304.0471882,336.3620523,640.4092404,,,,,,,,
268.00,678.90,1912.47,678.90,2184.19,,678.9025113,388.6145405,443.8278785,832.442419,,,,,,,,
332.00,680.75,1856.77,680.75,1690.67,,680.7544498,377.2952475,343.5434746,720.8387221,,,,,,,,
264.00,695.73,2176.71,695.73,1928.46,,695.7336361,442.3077092,391.8635398,834.171249,,,,,,,,
241.00,705.97,2218.93,705.97,1940.91,,705.9673263,450.8862189,394.3925232,845.2787421,,,,,,,,
86.00,708.28,1369.59,708.28,1527.57,,708.2803239,278.3002094,310.4025034,588.7027128,,,,,,,,
131.00,708.88,1608.93,708.88,1800.64,,708.8778424,326.9341566,365.8898313,692.8239879,,,,,,,,
42.00,711.80,1152.53,711.80,1277.70,,711.804278,234.1937444,259.6278849,493.8216293,,,,,,,,
64.00,715.98,1255.62,715.98,1399.60,,715.9765394,255.1423247,284.3996479,539.5419726,,,,,,,,
199.00,723.79,1893.03,723.79,2147.33,,723.7915346,384.6636287,436.3379245,821.0015533,,,,,,,,
217.00,735.63,2218.41,735.63,1897.61,,735.6274956,450.7805186,385.5949817,836.3755002,,,,,,,,
354.00,736.57,1732.17,736.57,1556.68,,736.5692607,351.9773804,316.3164198,668.2938002,,,,,,,,
21.00,744.83,1053.85,744.83,1170.83,,744.8334946,214.142073,237.9125318,452.0546049,,,,,,,,
269.00,746.21,1874.58,746.21,2202.21,,746.2115202,380.9146674,447.48808,828.4027474,,,,,,,,
398.00,752.04,1456.76,752.04,1324.87,,752.0424551,296.0133918,269.2143757,565.2277676,,,,,,,,
245.00,752.99,1918.93,752.99,2235.69,,752.9934577,389.9260823,454.2917369,844.2178192,,,,,,,,
376.00,753.60,1594.57,753.60,1435.89,,753.5980545,324.016725,291.7729127,615.7896377,,,,,,,,
109.00,756.65,1474.15,756.65,1675.78,,756.6524527,299.547028,340.5182955,640.0653235,,,,,,,,
309.00,759.34,2008.23,759.34,1762.32,,759.3358918,408.0727471,358.10344,766.1761871,,,,,,,,
222.00,764.84,1913.40,764.84,2221.06,,764.8405702,388.8031633,451.3185593,840.1217226,,,,,,,,
43.00,764.87,1143.97,764.87,1286.66,,764.8681312,232.4546158,261.4497961,493.904412,,,,,,,,
154.00,766.70,1700.57,766.70,1949.43,,766.7029074,345.5564493,396.123477,741.6799263,,,,,,,,
87.00,778.40,1351.91,778.40,1543.80,,778.3966651,274.7074755,313.6994931,588.4069686,,,,,,,,
65.00,779.22,1242.47,779.22,1412.25,,779.2222837,252.469948,286.9686447,539.4385927,,,,,,,,
0.00,781.75,963.18,781.75,1071.10,,781.7462377,195.7180384,217.6468222,413.3648605,,,,,,,,
270.00,784.66,1847.19,784.66,2210.31,,784.6645005,375.3490042,449.1346368,824.483641,,,,,,,,
216.00,786.45,2231.34,786.45,1864.00,,786.451531,453.408151,378.7655074,832.1736584,,,,,,,,
271.00,806.03,1827.45,806.03,2212.10,,806.0288837,371.3378941,449.4978321,820.8357262,,,,,,,,
22.00,814.97,1041.26,814.97,1179.05,,814.9697514,211.5846373,239.5828075,451.1674447,,,,,,,,
215.00,816.20,2236.57,816.20,1839.49,,816.2032344,454.4717061,373.7848351,828.2565412,,,,,,,,
272.00,817.50,1812.78,817.50,2210.05,,817.5043846,368.3561356,449.0828213,817.4389568,,,,,,,,
240.00,826.18,2258.66,826.18,1873.74,,826.1795272,458.9602324,380.7439127,839.7041451,,,,,,,,
132.00,828.62,1562.71,828.62,1834.23,,828.6197034,317.5421566,372.7145539,690.2567105,,,,,,,,
286.00,829.10,2141.18,829.10,1807.99,,829.099332,435.0877155,367.3832983,802.4710138,,,,,,,,
214.00,832.88,2236.78,832.88,1821.63,,832.8803576,454.5139574,370.1547465,824.6687039,,,,,,,,
331.00,834.93,1899.60,834.93,1626.17,,834.9261415,385.9996605,330.4382893,716.4379499,,,,,,,,
419.00,839.75,1340.19,839.75,1195.92,,839.7464747,272.3263223,243.0115996,515.3379218,,,,,,,,
177.00,840.35,1761.44,840.35,2091.97,,840.3521608,357.9252082,425.0876122,783.0128204,,,,,,,,
213.00,841.33,2233.77,841.33,1808.42,,841.3285784,453.9027582,367.4716514,821.3744095,,,,,,,,
210.00,842.86,2215.95,842.86,1783.47,,842.8574664,450.2809402,362.4002696,812.6812097,,,,,,,,
212.00,844.60,2228.82,844.60,1798.35,,844.5985362,452.8957945,365.4253432,818.3211377,,,,,,,,
211.00,844.71,2222.76,844.71,1790.26,,844.7090688,451.6645591,363.7807491,815.4453083,,,,,,,,
44.00,846.66,1124.92,846.66,1298.85,,846.664375,228.5841017,263.925554,492.5096556,,,,,,,,
246.00,850.78,1859.54,850.78,2268.60,,850.7764498,377.8593336,460.9797067,838.8390403,,,,,,,,
263.00,855.79,2230.58,855.79,1842.61,,855.7921298,453.2537319,374.4178364,827.6715683,,,,,,,,
110.00,860.50,1435.59,860.50,1702.23,,860.4975626,291.7117161,345.8928032,637.6045194,,,,,,,,
66.00,866.48,1217.31,866.48,1428.27,,866.4834872,247.3580221,290.2252467,537.5832688,,,,,,,,
397.00,867.47,1478.05,867.47,1287.55,,867.4722931,300.3397218,261.6310211,561.9707429,,,,,,,,
88.00,871.08,1320.74,871.08,1564.22,,871.0830642,268.3737091,317.8495393,586.2232484,,,,,,,,
1.00,871.45,946.17,871.45,1078.14,,871.4532339,192.2607787,219.0772078,411.3379865,,,,,,,,
353.00,876.52,1767.84,876.52,1498.54,,876.5173639,359.2258061,304.5038595,663.7296655,,,,,,,,
375.00,885.76,1623.80,885.76,1385.95,,885.7572988,329.9560855,281.6248221,611.5809076,,,,,,,,
200.00,893.15,1800.70,893.15,2206.11,,893.1475006,365.9029481,448.2825043,814.1854523,,,,,,,,
223.00,899.55,1832.23,899.55,2269.39,,899.5463144,372.3088628,461.1405781,833.4494409,,,,,,,,
239.00,900.54,2283.43,900.54,1820.94,,900.538793,463.9935631,370.0153194,834.0088824,,,,,,,,
247.00,910.23,1814.56,910.23,2287.69,,910.2320428,368.7178855,464.8587414,833.5766269,,,,,,,,
155.00,915.40,1625.67,915.40,1996.28,,915.4041233,330.3353102,405.64501,735.9803202,,,,,,,,
23.00,917.05,1016.02,917.05,1189.84,,917.0465512,206.4549039,241.7760408,448.2309448,,,,,,,,
308.00,918.83,2059.04,918.83,1676.56,,918.8276727,418.3969274,340.6761811,759.0731085,,,,,,,,
440.00,923.09,1225.97,923.09,1076.84,,923.0869233,249.1175621,218.8131866,467.9307487,,,,,,,,
248.00,946.65,1781.12,946.65,2297.44,,946.6540104,361.923074,466.8393162,828.7623901,,,,,,,,
238.00,947.25,2297.57,947.25,1780.72,,947.2518793,466.865271,361.8414518,828.7067228,,,,,,,,
45.00,951.20,1092.55,951.20,1313.04,,951.2011511,222.0052705,266.8092302,488.8145007,,,,,,,,
262.00,958.83,2267.65,958.83,1769.69,,958.8298857,460.7863394,359.6007813,820.3871208,,,,,,,,
133.00,959.47,1496.42,959.47,1872.24,,959.4743707,304.0734395,380.4384968,684.5119363,,,,,,,,
285.00,963.55,2188.30,963.55,1721.35,,963.5509169,444.6631329,349.7780964,794.4412292,,,,,,,,
418.00,966.64,1357.84,966.64,1150.93,,966.6371139,275.9137283,233.8696173,509.7833456,,,,,,,,
249.00,968.17,1756.79,968.17,2300.93,,968.1729493,356.9804224,467.5499357,824.5303581,,,,,,,,
67.00,972.05,1178.12,972.05,1446.39,,972.0465001,239.3943831,293.9070274,533.3014105,,,,,,,,
330.00,975.66,1941.41,975.66,1547.20,,975.6585871,394.4937596,314.390094,708.8838536,,,,,,,,
237.00,975.86,2304.20,975.86,1751.00,,975.8639002,468.2127299,355.8035946,824.0163245,,,,,,,,
111.00,980.06,1378.54,980.06,1732.48,,980.0554345,280.1202552,352.0405326,632.1607879,,,,,,,,
250.00,980.23,1739.07,980.23,2300.55,,980.2328222,353.3799837,467.4717086,820.8516923,,,,,,,,
89.00,982.80,1272.84,982.80,1587.88,,982.7993512,258.641853,322.6573485,581.2992016,,,,,,,,
178.00,983.04,1672.15,983.04,2142.05,,983.0421208,339.7810628,435.2651629,775.0462257,,,,,,,,
224.00,985.41,1766.09,985.41,2301.05,,985.4072127,358.8695496,467.5734217,826.4429713,,,,,,,,
251.00,986.72,1725.50,986.72,2297.72,,986.7208557,350.6205948,466.8976217,817.5182165,,,,,,,,
2.00,991.67,915.66,991.67,1085.69,,991.6713755,186.0624079,220.6128699,406.6752778,,,,,,,,
236.00,992.45,2305.70,992.45,1729.50,,992.4500835,468.5176193,351.4337286,819.9513479,,,,,,,,
235.00,1001.16,2303.81,1001.16,1713.98,,1001.157999,468.1347905,348.2812364,816.4160269,,,,,,,,
231.00,1001.45,2282.70,1001.45,1681.38,,1001.451314,463.8441228,341.6568146,805.5009374,,,,,,,,
232.00,1003.94,2288.87,1003.94,1687.19,,1003.938891,465.0988235,342.8375688,807.9363923,,,,,,,,
396.00,1004.10,1502.02,1004.10,1228.82,,1004.099838,305.2112146,249.6964733,554.9076879,,,,,,,,
234.00,1004.80,2299.77,1004.80,1702.62,,1004.796963,467.3136091,345.9728597,813.2864688,,,,,,,,
233.00,1005.27,2294.57,1005.27,1694.05,,1005.274842,466.2563469,344.2316228,810.4879697,,,,,,,,
352.00,1006.79,1801.64,1006.79,1427.49,,1006.787521,366.0933247,290.0667272,656.1600519,,,,,,,,
201.00,1008.93,1716.85,1008.93,2249.32,,1008.928083,348.8633666,457.0619289,805.9252956,,,,,,,,
374.00,1017.57,1652.35,1017.57,1320.17,,1017.565154,335.7571357,268.2586139,604.0157496,,,,,,,,
261.00,1027.21,2291.88,1027.21,1710.26,,1027.210738,465.710443,347.5244156,813.2348586,,,,,,,,
24.00,1033.87,978.33,1033.87,1200.00,,1033.866751,198.7970679,243.8407916,442.6378595,,,,,,,,
307.00,1038.32,2099.12,1038.32,1592.43,,1038.321648,426.5410343,323.5811841,750.1222184,,,,,,,,
225.00,1040.90,1714.32,1040.90,2320.49,,1040.900411,348.3501733,471.5230649,819.8732382,,,,,,,,
156.00,1042.39,1542.26,1042.39,2038.11,,1042.387637,313.3872894,414.1433054,727.5305949,,,,,,,,
439.00,1053.53,1237.61,1053.53,1028.00,,1053.528846,251.4822091,208.8888629,460.371072,,,,,,,,
284.00,1056.33,2221.61,1056.33,1645.64,,1056.332907,451.4308818,334.3936875,785.8245694,,,,,,,,
46.00,1062.58,1048.64,1062.58,1326.19,,1062.583766,213.0845306,269.4808012,482.5653318,,,,,,,,
260.00,1072.40,2306.59,1072.40,1663.62,,1072.403086,468.6982476,338.0479165,806.7461642,,,,,,,,
226.00,1076.67,1674.80,1076.67,2331.34,,1076.669182,340.318414,473.7280182,814.0464322,,,,,,,,
134.00,1077.53,1420.30,1077.53,1906.67,,1077.525634,288.6039723,387.4363577,676.04033,,,,,,,,
68.00,1083.48,1126.10,1083.48,1463.75,,1083.477728,228.8236275,297.4336267,526.2572541,,,,,,,,
329.00,1086.57,1974.81,1086.57,1467.72,,1086.571966,401.2808355,298.2416618,699.5224973,,,,,,,,
179.00,1086.95,1589.12,1086.95,2179.60,,1086.954479,322.9091799,442.8945827,765.8037626,,,,,,,,
202.00,1087.34,1646.42,1087.34,2278.61,,1087.335356,334.5522626,463.0145094,797.5667719,,,,,,,,
112.00,1093.64,1310.26,1093.64,1760.42,,1093.640134,266.2439214,357.7166111,623.9605325,,,,,,,,
90.00,1094.65,1212.63,1094.65,1610.13,,1094.652843,246.4065973,327.1791247,573.585722,,,,,,,,
417.00,1098.60,1373.66,1098.60,1089.59,,1098.603065,279.1286317,221.4051969,500.5338286,,,,,,,,
227.00,1099.30,1645.08,1099.30,2336.25,,1099.297632,334.2795632,474.7267938,809.006357,,,,,,,,
259.00,1101.25,2314.25,1101.25,1628.53,,1101.251376,470.2563481,330.9165722,801.1729203,,,,,,,,
3.00,1110.64,876.04,1110.64,1090.44,,1110.641761,178.0116395,221.576611,399.5882505,,,,,,,,
228.00,1112.78,1623.32,1112.78,2337.21,,1112.77642,329.8583156,474.9210161,804.7793317,,,,,,,,
351.00,1113.74,1828.98,1113.74,1353.77,,1113.736727,371.6483182,275.0858201,646.7341383,,,,,,,,
258.00,1118.58,2316.89,1118.58,1603.07,,1118.575742,470.7923653,325.7429756,796.5353409,,,,,,,,
229.00,1120.33,1607.33,1120.33,2335.83,,1120.325027,326.6104142,474.6412493,801.2516636,,,,,,,,
283.00,1121.12,2244.22,1121.12,1581.85,,1121.118395,456.0258913,321.4323576,777.4582489,,,,,,,,
395.00,1121.25,1520.58,1121.25,1163.64,,1121.250902,308.9818452,236.450822,545.4326672,,,,,,,,
373.00,1124.19,1674.27,1124.19,1252.62,,1124.187601,340.2124804,254.5315785,594.7440589,,,,,,,,
230.00,1124.34,1594.82,1124.34,2332.86,,1124.340354,324.0682959,474.0375314,798.1058272,,,,,,,,
306.00,1124.65,2128.04,1124.65,1516.98,,1124.654326,432.4167894,308.2493313,740.6661207,,,,,,,,
252.00,1126.84,2293.21,1126.84,1546.39,,1126.843074,465.9802351,314.2264896,780.2067246,,,,,,,,
257.00,1128.00,2316.10,1128.00,1585.01,,1128.000165,470.6307265,322.0740057,792.7047321,,,,,,,,
253.00,1129.70,2298.56,1129.70,1550.97,,1129.700244,467.0683872,315.1566934,782.2250805,,,,,,,,
254.00,1131.89,2303.64,1131.89,1556.32,,1131.889765,468.0993071,316.2448108,784.3441178,,,,,,,,
256.00,1132.20,2313.06,1132.20,1572.26,,1132.198235,470.0143139,319.4822625,789.4965763,,,,,,,,
255.00,1133.05,2308.64,1133.05,1563.09,,1133.048339,469.1158439,317.6205636,786.7364076,,,,,,,,
157.00,1139.10,1462.70,1139.10,2070.01,,1139.10246,297.2212513,420.6259924,717.8472436,,,,,,,,
203.00,1140.44,1589.58,1140.44,2297.42,,1140.441944,323.0023331,466.8363651,789.8386982,,,,,,,,
25.00,1140.78,934.31,1140.78,1206.89,,1140.775979,189.852324,245.2402136,435.0925376,,,,,,,,
180.00,1160.60,1517.31,1160.60,2205.79,,1160.600726,308.3174069,448.2155278,756.5329347,,,,,,,,
47.00,1164.53,998.21,1164.53,1336.01,,1164.526435,202.8363133,271.4771773,474.3134905,,,,,,,,
282.00,1165.87,2258.64,1165.87,1530.18,,1165.866334,458.9560987,310.9332008,769.8892995,,,,,,,,
328.00,1169.36,1999.14,1169.36,1394.80,,1169.358513,406.2244594,283.4228932,689.6473526,,,,,,,,
135.00,1170.61,1345.77,1170.61,1933.23,,1170.611112,273.4610821,392.8315678,666.2926498,,,,,,,,
438.00,1173.24,1245.18,1173.24,969.35,,1173.237866,253.0214989,196.9711032,449.9926021,,,,,,,,
204.00,1176.13,1545.00,1176.13,2308.63,,1176.134243,313.9433264,469.112714,783.0560404,,,,,,,,
69.00,1180.84,1069.43,1180.84,1477.00,,1180.840051,217.3077667,300.127181,517.4349477,,,,,,,,
113.00,1185.93,1241.50,1185.93,1782.05,,1185.930783,252.2737664,362.1130999,614.3868663,,,,,,,,
305.00,1187.38,2148.20,1187.38,1451.46,,1187.375762,436.5136519,294.9365403,731.4501923,,,,,,,,
91.00,1188.51,1149.89,1188.51,1627.34,,1188.505607,233.6581576,330.6763696,564.3345273,,,,,,,,
350.00,1195.43,1848.83,1195.43,1284.72,,1195.432317,375.6827927,261.0559958,636.7387885,,,,,,,,
281.00,1195.57,2266.78,1195.57,1490.34,,1195.573411,460.609023,302.836694,763.4457169,,,,,,,,
416.00,1198.03,1383.19,1198.03,1030.21,,1198.027017,281.0650308,209.3390939,490.4041248,,,,,,,,
205.00,1199.67,1510.77,1199.67,2314.41,,1199.671598,306.9892457,470.2874485,777.2766942,,,,,,,,
4.00,1205.76,835.47,1205.76,1091.69,,1205.759936,169.7668444,221.8319756,391.5988199,,,,,,,,
372.00,1206.96,1689.98,1206.96,1188.12,,1206.964369,343.403181,241.4250839,584.8282649,,,,,,,,
394.00,1207.08,1532.56,1207.08,1103.94,,1207.078314,311.4159756,224.3197094,535.7356851,,,,,,,,
158.00,1210.15,1391.97,1210.15,2092.68,,1210.146039,282.8485485,425.2329423,708.0814909,,,,,,,,
181.00,1212.42,1457.65,1212.42,2223.17,,1212.42455,296.1936856,451.7480041,747.9416896,,,,,,,,
280.00,1214.07,2270.24,1214.07,1461.09,,1214.065218,461.3129783,296.8924752,758.2054535,,,,,,,,
206.00,1214.71,1484.85,1214.71,2316.38,,1214.707486,301.7216419,470.6892354,772.4108773,,,,,,,,
273.00,1221.79,2247.17,1221.79,1397.83,,1221.790754,456.6241933,284.0382955,740.6624888,,,,,,,,
207.00,1223.62,1465.78,1223.62,2315.91,,1223.617851,297.8471772,470.5921739,768.4393511,,,,,,,,
279.00,1224.51,2270.41,1224.51,1440.44,,1224.508745,461.3464067,292.6983105,754.0447172,,,,,,,,
274.00,1224.90,2251.65,1224.90,1401.07,,1224.900787,457.5343636,284.6983225,742.232686,,,,,,,,
275.00,1227.64,2256.02,1227.64,1404.83,,1227.640641,458.4223249,285.4611207,743.8834456,,,,,,,,
208.00,1228.56,1451.69,1228.56,2314.11,,1228.558533,294.9829296,470.2277769,765.2107066,,,,,,,,
