index,RL RPM,RL Potential Fx [N],RR RPM,RR Potential Fx  [N],,Differential RPM,RL Torque Potential [Nm],RR Torque Potential [Nm],Combined Axle Torque [Nm],,,,,,,,tire radius [m]
26.00,1228.94,888.82,1228.94,1210.29,,1228.937963,180.6081552,245.9314646,426.5396198,,,,,,,,
278.00,1229.44,2268.36,1229.44,1426.23,,1229.44399,460.9304036,289.8094423,750.7398459,,,,,,,,
276.00,1229.84,2260.57,1229.84,1409.68,,1229.843335,459.3482711,286.4477846,745.7960557,,,,,,,,
277.00,1230.78,2264.90,1230.78,1416.48,,1230.775861,460.2272858,287.8289854,748.0562712,,,,,,,,
209.00,1231.09,1440.49,1231.09,2311.26,,1231.09183,292.7071111,469.6487537,762.3558648,,,,,,,,
327.00,1231.30,2016.31,1231.30,1329.83,,1231.301196,409.7146354,270.2221781,679.9368136,,,,,,,,
304.00,1232.37,2161.53,1232.37,1396.72,,1232.366072,439.2225286,283.8130038,723.0355324,,,,,,,,
136.00,1240.90,1277.84,1240.90,1952.22,,1240.901634,259.6563398,396.6920012,656.348341,,,,,,,,
48.00,1246.44,947.96,1246.44,1341.96,,1246.442614,192.6254837,272.6858502,465.3113339,,,,,,,,
182.00,1248.47,1409.64,1248.47,2234.00,,1248.466735,286.4391799,453.949196,740.3883759,,,,,,,,
437.00,1256.38,1248.18,1256.38,917.35,,1256.377646,253.6309711,186.4047816,440.0357527,,,,,,,,
114.00,1257.07,1177.41,1257.07,1797.42,,1257.072995,239.2496971,365.2349,604.4845971,,,,,,,,
349.00,1257.77,1862.78,1257.77,1221.97,,1257.767689,378.5177795,248.3033291,626.8211086,,,,,,,,
70.00,1257.81,1014.44,1257.81,1485.79,,1257.814279,206.1335712,301.9127328,508.0463041,,,,,,,,
159.00,1261.70,1331.61,1261.70,2108.05,,1261.704693,270.5831421,428.3567569,698.939899,,,,,,,,
92.00,1261.92,1090.21,1261.92,1639.27,,1261.916548,221.5310716,333.099576,554.6306476,,,,,,,,
303.00,1263.34,2169.49,1263.34,1353.33,,1263.337745,440.8399491,274.9976544,715.8376035,,,,,,,,
415.00,1268.13,1388.24,1268.13,978.59,,1268.12955,282.090186,198.8493665,480.9395525,,,,,,,,
371.00,1270.79,1700.72,1270.79,1128.61,,1270.791305,345.5870834,229.3330983,574.9201817,,,,,,,,
183.00,1273.03,1372.04,1273.03,2240.06,,1273.03299,278.7983326,455.1797563,733.978089,,,,,,,,
393.00,1273.48,1540.31,1273.48,1048.25,,1273.477832,312.9902955,213.0045669,525.9948623,,,,,,,,
326.00,1277.14,2027.91,1277.14,1273.98,,1277.137209,412.0712048,258.8737129,670.9449178,,,,,,,,
5.00,1280.37,795.76,1280.37,1090.70,,1280.374906,161.697636,221.6305708,383.3282068,,,,,,,,
302.00,1283.32,2173.35,1283.32,1320.87,,1283.316576,441.6239042,268.400686,710.0245902,,,,,,,,
184.00,1289.30,1343.15,1289.30,2242.69,,1289.295708,272.9286354,455.7154592,728.6440946,,,,,,,,
294.00,1290.52,2152.03,1290.52,1253.23,,1290.519834,437.2932901,254.6558885,691.9491786,,,,,,,,
137.00,1293.17,1218.44,1293.17,1965.20,,1293.170071,247.5863969,399.3284554,646.9148523,,,,,,,,
295.00,1293.84,2155.71,1293.84,1255.21,,1293.836597,438.0393808,255.0596111,693.098992,,,,,,,,
301.00,1295.05,2174.22,1295.05,1297.81,,1295.047816,441.802033,263.7158491,705.5178822,,,,,,,,
296.00,1296.98,2159.30,1296.98,1257.49,,1296.97803,438.7698844,255.5224267,694.2923111,,,,,,,,
27.00,1297.51,845.30,1297.51,1211.24,,1297.50945,171.7639448,246.1234868,417.8874316,,,,,,,,
160.00,1298.58,1281.88,1298.58,2117.91,,1298.575737,260.4780928,430.3596757,690.8377685,,,,,,,,
185.00,1299.61,1321.20,1299.61,2242.92,,1299.611476,268.4687674,455.7612656,724.230033,,,,,,,,
297.00,1299.92,2163.20,1299.92,1260.54,,1299.92438,439.5630327,256.141827,695.7048597,,,,,,,,
300.00,1300.92,2173.05,1300.92,1282.10,,1300.924878,441.5628503,260.5236771,702.0865274,,,,,,,,
298.00,1302.11,2167.10,1302.11,1265.04,,1302.112289,440.3540702,257.0558693,697.4099396,,,,,,,,
299.00,1302.77,2170.49,1302.77,1271.80,,1302.774267,441.0436415,258.4289342,699.4725757,,,,,,,,
348.00,1305.02,1872.23,1305.02,1166.64,,1305.022427,380.4369296,237.0622503,617.4991799,,,,,,,,
186.00,1305.60,1305.02,1305.60,2241.69,,1305.603096,265.1793645,455.5107173,720.6900817,,,,,,,,
187.00,1308.76,1293.09,1308.76,2239.76,,1308.755771,262.7558837,455.1189373,717.874821,,,,,,,,
325.00,1309.73,2035.10,1309.73,1228.48,,1309.729423,413.5315954,249.6264557,663.1580512,,,,,,,,
49.00,1310.12,900.61,1310.12,1344.97,,1310.121186,183.0044277,273.2973686,456.3017963,,,,,,,,
188.00,1310.17,1283.55,1310.17,2237.14,,1310.166324,260.8178376,454.5866062,715.4044438,,,,,,,,
115.00,1310.96,1120.13,1310.96,1807.80,,1310.961326,227.6108242,367.3452003,594.9560245,,,,,,,,
436.00,1314.69,1248.85,1314.69,872.98,,1314.693573,253.7661688,177.3903967,431.1565655,,,,,,,,
71.00,1317.44,963.41,1317.44,1491.09,,1317.437938,195.7658958,302.9893104,498.7552062,,,,,,,,
93.00,1318.27,1035.82,1318.27,1647.05,,1318.269935,210.4786118,334.6809239,545.1595357,,,,,,,,
370.00,1320.01,1707.84,1320.01,1075.04,,1320.005815,347.0321696,218.4482629,565.4804325,,,,,,,,
414.00,1322.80,1390.87,1322.80,930.82,,1322.798299,282.6241807,189.1417129,471.7658936,,,,,,,,
161.00,1324.38,1242.17,1324.38,2123.70,,1324.381734,252.4082677,431.5364531,683.9447208,,,,,,,,
392.00,1325.14,1545.10,1325.14,997.33,,1325.137718,313.9645155,202.6565409,516.6210564,,,,,,,,
138.00,1331.40,1168.40,1331.40,1973.62,,1331.40399,237.4195015,401.0396257,638.4591272,,,,,,,,
324.00,1331.44,2038.87,1331.44,1193.66,,1331.441313,414.2985201,242.5522729,656.850793,,,,,,,,
6.00,1337.81,758.57,1337.81,1088.58,,1337.809011,154.1421267,221.2000746,375.3422013,,,,,,,,
315.00,1338.83,2020.52,1338.83,1122.69,,1338.833538,410.5701835,228.1310389,638.7012224,,,,,,,,
347.00,1339.50,1878.22,1339.50,1120.41,,1339.503426,381.6533294,227.6663687,609.3196982,,,,,,,,
162.00,1341.90,1211.28,1341.90,2126.55,,1341.898619,246.1312758,432.1151076,678.2463834,,,,,,,,
316.00,1342.23,2023.35,1342.23,1123.77,,1342.230535,411.1456255,228.3509537,639.4965792,,,,,,,,
323.00,1344.51,2040.26,1344.51,1168.75,,1344.511076,414.5802981,237.489412,652.0697101,,,,,,,,
317.00,1345.57,2026.19,1345.57,1124.97,,1345.571057,411.7209643,228.5931627,640.314127,,,,,,,,
318.00,1348.94,2029.39,1348.94,1126.63,,1348.941599,412.3718728,228.9317887,641.3036615,,,,,,,,
28.00,1350.36,805.13,1350.36,1210.67,,1350.364963,163.6032173,246.0077655,409.6109828,,,,,,,,
116.00,1351.02,1070.93,1351.02,1814.60,,1351.016236,217.6123385,368.7265973,586.3389358,,,,,,,,
322.00,1351.40,2039.84,1351.40,1151.74,,1351.402574,414.4958318,234.0337388,648.5295706,,,,,,,,
319.00,1351.90,2032.68,1351.90,1129.32,,1351.899336,413.0399351,229.4768744,642.5168095,,,,,,,,
163.00,1353.22,1187.76,1353.22,2127.45,,1353.216096,241.3518376,432.298828,673.6506655,,,,,,,,
320.00,1353.83,2035.67,1353.83,1133.65,,1353.830718,413.6480352,230.3567133,644.0047486,,,,,,,,
321.00,1354.02,2038.16,1354.02,1140.65,,1354.018404,414.1545097,231.7790666,645.9335763,,,,,,,,
369.00,1356.55,1712.58,1356.55,1029.27,,1356.549967,347.9956568,209.1478439,557.1435008,,,,,,,,
139.00,1358.57,1127.82,1358.57,1979.00,,1358.570885,229.1721038,402.1328286,631.3049324,,,,,,,,
50.00,1358.92,857.68,1358.92,1346.18,,1358.920554,174.2805338,273.5434556,447.8239895,,,,,,,,
435.00,1359.91,1248.64,1359.91,832.58,,1359.910212,253.7244789,169.1806887,422.9051676,,,,,,,,
164.00,1360.20,1169.89,1360.20,2126.81,,1360.202768,237.7222576,432.1678377,669.8900953,,,,,,,,
94.00,1360.62,988.27,1360.62,1652.11,,1360.620823,200.8162642,335.7084352,536.5246994,,,,,,,,
72.00,1362.71,918.00,1362.71,1494.24,,1362.708503,186.5374876,303.6295542,490.1670418,,,,,,,,
346.00,1362.98,1881.94,1362.98,1084.27,,1362.978212,382.4107466,220.3241811,602.7349277,,,,,,,,
165.00,1364.07,1156.71,1364.07,2125.31,,1364.066923,235.0427539,431.8621793,666.9049332,,,,,,,,
391.00,1364.22,1548.29,1364.22,952.76,,1364.220719,314.6134597,193.6001952,508.2136549,,,,,,,,
413.00,1364.78,1392.37,1364.78,888.08,,1364.782315,282.9287049,180.4588483,463.3875532,,,,,,,,
166.00,1366.00,1146.87,1366.00,2123.51,,1365.997507,233.0429875,431.4969228,664.5399102,,,,,,,,
167.00,1366.64,1138.92,1366.64,2121.25,,1366.642847,231.429394,431.0384389,662.4678329,,,,,,,,
336.00,1371.80,1867.36,1371.80,1009.97,,1371.796653,379.4475152,205.226231,584.6737461,,,,,,,,
337.00,1375.22,1869.52,1375.22,1010.43,,1375.218347,379.8854701,205.3196811,585.2051512,,,,,,,,
140.00,1377.36,1095.84,1377.36,1982.03,,1377.356556,222.6756285,402.7492825,625.424911,,,,,,,,
345.00,1377.84,1883.56,1377.84,1057.68,,1377.844494,382.7385772,214.9211415,597.6597187,,,,,,,,
338.00,1378.66,1871.65,1378.66,1010.89,,1378.662072,380.3186632,205.4129699,585.7316331,,,,,,,,
117.00,1379.90,1030.35,1379.90,1819.24,,1379.898818,209.3665213,369.6693696,579.0358909,,,,,,,,
7.00,1381.51,724.94,1381.51,1086.48,,1381.507079,147.3078199,220.7724774,368.0802973,,,,,,,,
339.00,1382.30,1874.07,1382.30,1011.60,,1382.29726,380.8101458,205.5571721,586.3673179,,,,,,,,
368.00,1382.33,1715.57,1382.33,992.40,,1382.332141,348.6043625,201.6563809,550.2607433,,,,,,,,
340.00,1385.76,1876.59,1385.76,1012.96,,1385.76389,381.3235264,205.8339925,587.1575189,,,,,,,,
344.00,1386.13,1883.65,1386.13,1039.30,,1386.134078,382.7574748,211.1865791,593.9440539,,,,,,,,
341.00,1388.56,1878.96,1388.56,1015.46,,1388.55605,381.8037504,206.3405177,588.1442681,,,,,,,,
343.00,1389.72,1882.69,1389.72,1027.30,,1389.720077,382.563481,208.7480397,591.3115208,,,,,,,,
141.00,1389.98,1071.11,1389.98,1983.25,,1389.976427,217.6486661,402.9957846,620.6444507,,,,,,,,
342.00,1390.14,1881.05,1390.14,1019.86,,1390.142843,382.2285581,207.2353944,589.4639526,,,,,,,,
29.00,1390.30,769.43,1390.30,1210.06,,1390.304734,156.3488155,245.8840235,402.232839,,,,,,,,
95.00,1391.75,948.22,1391.75,1655.58,,1391.753008,192.6775438,336.4134164,529.0909602,,,,,,,,
390.00,1392.52,1550.32,1392.52,915.90,,1392.518116,315.0241722,186.110642,501.1348142,,,,,,,,
357.00,1393.42,1705.08,1393.42,915.04,,1393.41952,346.4719905,185.9370051,532.4089956,,,,,,,,
434.00,1393.79,1248.43,1393.79,797.56,,1393.792452,253.6806351,162.0641352,415.7447703,,,,,,,,
51.00,1395.55,820.17,1395.55,1347.00,,1395.552116,166.6582742,273.7098529,440.3681271,,,,,,,,
412.00,1395.78,1393.29,1395.78,851.88,,1395.782765,283.1158388,173.101711,456.2175498,,,,,,,,
73.00,1396.42,879.01,1396.42,1496.41,,1396.424141,178.6141456,304.0695205,482.6836662,,,,,,,,
358.00,1396.84,1706.57,1396.84,915.15,,1396.838,346.7751806,185.9593359,532.7345165,,,,,,,,
142.00,1398.04,1052.23,1398.04,1983.16,,1398.041747,213.8121973,402.9780592,616.7902565,,,,,,,,
367.00,1399.23,1717.01,1399.23,964.63,,1399.226341,348.8973752,196.0121984,544.9095736,,,,,,,,
359.00,1400.33,1708.04,1400.33,915.19,,1400.326004,347.0741786,185.9658216,533.0400002,,,,,,,,
118.00,1400.40,997.77,1400.40,1821.88,,1400.396665,202.7466599,370.2064487,572.9531087,,,,,,,,
143.00,1402.80,1037.90,1402.80,1982.15,,1402.796528,210.9016808,402.772105,613.6737858,,,,,,,,
360.00,1404.12,1709.72,1404.12,915.29,,1404.11691,347.4155615,185.9874712,533.4030326,,,,,,,,
144.00,1405.22,1027.30,1405.22,1980.68,,1405.220072,208.7477387,402.4738211,611.2215598,,,,,,,,
145.00,1406.26,1019.33,1406.26,1979.13,,1406.262977,207.1286737,402.1599897,609.2886634,,,,,,,,
146.00,1406.31,1012.87,1406.31,1977.30,,1406.312296,205.8148595,401.7874161,607.6022756,,,,,,,,
378.00,1406.72,1543.80,1406.72,835.75,,1406.722441,313.6995912,169.8241357,483.5237268,,,,,,,,
361.00,1407.91,1711.49,1407.91,915.77,,1407.913638,347.7742651,186.0847683,533.8590333,,,,,,,,
366.00,1409.11,1717.35,1409.11,945.07,,1409.111228,348.9661298,192.0378091,541.0039389,,,,,,,,
379.00,1410.12,1544.73,1410.12,835.69,,1410.118632,313.8889772,169.8128398,483.7018169,,,,,,,,
362.00,1411.29,1713.16,1411.29,916.98,,1411.288668,348.1136571,186.3298457,534.4435028,,,,,,,,
389.00,1411.63,1551.32,1411.63,887.43,,1411.633127,315.2287307,180.3263444,495.5550752,,,,,,,,
380.00,1413.61,1545.64,1413.61,835.52,,1413.611735,314.0736447,169.7769325,483.8505771,,,,,,,,
365.00,1413.84,1716.93,1413.84,932.15,,1413.835585,348.8792348,189.4136844,538.2929192,,,,,,,,
363.00,1413.85,1714.68,1413.85,919.48,,1413.852551,348.423173,186.8389316,535.2621046,,,,,,,,
399.00,1413.98,1390.43,1413.98,769.25,,1413.979619,282.5348432,156.3115255,438.8463687,,,,,,,,
96.00,1414.20,915.56,1414.20,1657.57,,1414.198324,186.0422772,336.8180649,522.8603421,,,,,,,,
8.00,1414.22,695.68,1414.22,1084.77,,1414.219209,141.3617384,220.4250771,361.7868156,,,,,,,,
119.00,1414.46,972.28,1414.46,1823.11,,1414.456301,197.5676493,370.4559516,568.0236009,,,,,,,,
364.00,1415.00,1715.98,1415.00,924.14,,1415.000202,348.6864878,187.7855364,536.4720242,,,,,,,,
420.00,1416.89,1248.75,1416.89,712.88,,1416.886687,253.7460183,144.8563251,398.6023433,,,,,,,,
411.00,1417.29,1393.67,1417.29,823.20,,1417.29428,283.194502,167.2749037,450.4694058,,,,,,,,
400.00,1417.34,1390.85,1417.34,769.17,,1417.338066,282.6204791,156.2949548,438.9154339,,,,,,,,
381.00,1417.48,1546.67,1417.48,835.29,,1417.48375,314.283014,169.7314067,484.0144207,,,,,,,,
433.00,1417.86,1248.08,1417.86,769.12,,1417.864759,253.6108413,156.2849285,409.8957699,,,,,,,,
30.00,1420.07,738.88,1420.07,1209.33,,1420.065347,150.1409747,245.735094,395.8760687,,,,,,,,
421.00,1420.21,1248.81,1420.21,712.82,,1420.209767,253.7575341,144.8446248,398.6021589,,,,,,,,
401.00,1420.81,1391.29,1420.81,768.93,,1420.811581,282.7095766,156.2466776,438.9562542,,,,,,,,
74.00,1421.06,846.71,1421.06,1497.57,,1421.059433,172.051533,304.3060832,476.3576162,,,,,,,,
382.00,1421.48,1547.74,1421.48,835.24,,1421.484578,314.500981,169.7205469,484.2215279,,,,,,,,
52.00,1422.62,788.59,1422.62,1347.23,,1422.623896,160.2418467,273.7580579,433.9999046,,,,,,,,
388.00,1423.30,1551.66,1423.30,866.94,,1423.296345,315.296994,176.163045,491.460039,,,,,,,,
422.00,1423.65,1248.83,1423.65,712.62,,1423.646112,253.7629805,144.8041342,398.5671147,,,,,,,,
120.00,1423.68,952.70,1423.68,1823.34,,1423.682811,193.5887789,370.5018384,564.0906173,,,,,,,,
402.00,1424.71,1391.77,1424.71,768.57,,1424.713908,282.8084318,156.1725848,438.9810165,,,,,,,,
383.00,1425.24,1548.75,1425.24,835.62,,1425.244617,314.7057005,169.7974886,484.5031891,,,,,,,,
423.00,1427.54,1248.83,1427.54,712.25,,1427.538346,253.7614858,144.7301539,398.4916397,,,,,,,,
384.00,1428.48,1549.67,1428.48,836.83,,1428.482279,314.8929471,170.0443437,484.9372908,,,,,,,,
403.00,1428.83,1392.26,1428.83,768.24,,1428.829383,282.9064011,156.1055967,439.0119979,,,,,,,,
387.00,1429.32,1551.54,1429.32,853.18,,1429.320944,315.2739327,173.3659208,488.6398535,,,,,,,,
121.00,1429.35,937.81,1429.35,1822.85,,1429.348856,190.5638119,370.4025008,560.9663127,,,,,,,,
97.00,1429.86,889.71,1429.86,1658.56,,1429.862213,180.7889973,337.0199869,517.8089842,,,,,,,,
385.00,1430.75,1550.48,1430.75,839.50,,1430.748635,315.0565453,170.5872322,485.6437775,,,,,,,,
410.00,1430.91,1393.80,1430.91,802.07,,1430.908186,283.2206545,162.9803043,446.2009588,,,,,,,,
386.00,1431.36,1551.12,1431.36,844.54,,1431.358658,315.1877009,171.6105557,486.7982566,,,,,,,,
424.00,1431.71,1248.83,1431.71,711.82,,1431.706033,253.7614971,144.6418622,398.4033593,,,,,,,,
122.00,1432.43,926.53,1432.43,1821.84,,1432.429114,188.2715333,370.1983112,558.4698445,,,,,,,,
404.00,1432.83,1392.68,1432.83,768.13,,1432.83154,282.9931308,156.0849196,439.0780504,,,,,,,,
432.00,1433.59,1247.85,1433.59,747.63,,1433.594679,253.5636295,151.9189987,405.4826282,,,,,,,,
125.00,1433.66,906.61,1433.66,1818.04,,1433.659056,184.2225727,369.4256855,553.6482582,,,,,,,,
123.00,1433.75,918.15,1433.75,1820.62,,1433.752094,186.56888,369.9500617,556.5189416,,,,,,,,
124.00,1434.10,911.79,1434.10,1819.42,,1434.098399,185.2767322,369.7057799,554.9825122,,,,,,,,
425.00,1435.85,1248.77,1435.85,711.48,,1435.847813,253.7505447,144.5727405,398.3232852,,,,,,,,
405.00,1436.52,1393.05,1436.52,768.54,,1436.520634,283.0673987,156.166703,439.2341017,,,,,,,,
9.00,1438.18,671.17,1438.18,1083.44,,1438.177906,136.381435,220.1551261,356.5365611,,,,,,,,
409.00,1438.39,1393.80,1438.39,787.57,,1438.390955,283.2210954,160.0336379,443.2547333,,,,,,,,
75.00,1438.51,820.81,1438.51,1498.14,,1438.50646,166.7888084,304.4216283,471.2104367,,,,,,,,
406.00,1439.57,1393.35,1439.57,769.88,,1439.56935,283.1279774,156.4395062,439.5674836,,,,,,,,
426.00,1439.83,1248.66,1439.83,711.42,,1439.825365,253.7285528,144.5600366,398.2885894,,,,,,,,
98.00,1440.36,869.69,1440.36,1658.88,,1440.36186,176.7202935,337.0838202,513.8041137,,,,,,,,
408.00,1441.43,1393.73,1441.43,778.30,,1441.433966,283.2049661,158.1510384,441.3560045,,,,,,,,
407.00,1441.46,1393.57,1441.46,772.82,,1441.463814,283.1739403,157.0371718,440.2111121,,,,,,,,
31.00,1441.65,713.68,1441.65,1208.69,,1441.651141,145.0204795,245.6063071,390.6267865,,,,,,,,
53.00,1442.04,762.92,1442.04,1347.24,,1442.042177,155.0255295,273.760129,428.7856584,,,,,,,,
431.00,1442.69,1247.80,1442.69,732.55,,1442.692053,253.5534044,148.8534742,402.4068786,,,,,,,,
427.00,1443.40,1248.51,1443.40,711.93,,1443.404759,253.6962397,144.6640714,398.3603111,,,,,,,,
428.00,1446.21,1248.31,1446.21,713.48,,1446.208204,253.6558675,144.9787071,398.6345745,,,,,,,,
430.00,1446.88,1247.90,1446.88,722.70,,1446.875089,253.5740409,146.8525175,400.4265584,,,,,,,,
99.00,1447.01,854.40,1447.01,1658.72,,1447.011127,173.6143032,337.0510206,510.6653237,,,,,,,,
429.00,1447.65,1248.09,1447.65,716.75,,1447.651497,253.6122938,145.6433681,399.2556618,,,,,,,,
76.00,1450.41,800.56,1450.41,1498.35,,1450.409199,162.6744237,304.4648453,467.139269,,,,,,,,
100.00,1450.84,842.82,1450.84,1658.21,,1450.836226,171.260535,336.9481372,508.2086722,,,,,,,,
104.00,1451.99,818.34,1451.99,1654.84,,1451.989578,166.2860135,336.2631501,502.5491636,,,,,,,,
101.00,1452.61,834.05,1452.61,1657.44,,1452.613832,169.4782232,336.7925221,506.2707454,,,,,,,,
103.00,1452.84,822.46,1452.84,1655.76,,1452.843242,167.1248589,336.4510561,503.575915,,,,,,,,
102.00,1453.06,827.50,1453.06,1656.58,,1453.064917,168.147385,336.6177951,504.76518,,,,,,,,
10.00,1455.19,651.33,1455.19,1082.60,,1455.185583,132.3492953,219.984778,352.3340733,,,,,,,,
54.00,1455.49,742.64,1455.49,1347.21,,1455.490473,150.9041792,273.7524985,424.6566778,,,,,,,,
32.00,1456.80,693.54,1456.80,1208.29,,1456.79779,140.9273609,245.5253867,386.4527475,,,,,,,,
77.00,1458.13,785.02,1458.13,1498.34,,1458.132859,159.5153803,304.462027,463.9774073,,,,,,,,
78.00,1462.76,773.21,1462.76,1498.16,,1462.763432,157.1162932,304.4265558,461.542849,,,,,,,,
83.00,1463.70,745.20,1463.70,1496.05,,1463.700191,151.4255837,303.9980602,455.4236439,,,,,,,,
55.00,1464.39,726.95,1464.39,1347.19,,1464.393669,147.7168286,273.7486878,421.4655164,,,,,,,,
82.00,1464.91,748.48,1464.91,1496.55,,1464.913973,152.0906077,304.0995326,456.1901403,,,,,,,,
79.00,1465.14,764.28,1465.14,1497.86,,1465.13508,155.3024255,304.3651664,459.667592,,,,,,,,
81.00,1465.61,752.44,1465.61,1496.99,,1465.612556,152.8963552,304.1887782,457.0851334,,,,,,,,
80.00,1465.87,757.53,1465.87,1497.45,,1465.871593,153.9290937,304.2814528,458.2105465,,,,,,,,
11.00,1466.81,635.69,1466.81,1082.23,,1466.807946,129.1732013,219.9097213,349.0829226,,,,,,,,
33.00,1467.00,677.83,1467.00,1208.15,,1466.997096,137.7346569,245.4956769,383.2303338,,,,,,,,
56.00,1469.90,714.99,1469.90,1347.20,,1469.904552,145.2868082,273.7502259,419.0370341,,,,,,,,
62.00,1470.52,684.30,1470.52,1346.93,,1470.522636,139.0493265,273.6969607,412.7462872,,,,,,,,
61.00,1472.05,686.89,1472.05,1347.05,,1472.054603,139.5763399,273.7210476,413.2973875,,,,,,,,
57.00,1472.92,705.95,1472.92,1347.21,,1472.92109,143.4484703,273.753805,417.2022753,,,,,,,,
60.00,1473.16,690.01,1473.16,1347.14,,1473.162024,140.2105903,273.7381135,413.9487037,,,,,,,,
34.00,1473.47,665.78,1473.47,1208.21,,1473.474708,135.2873445,245.5084962,380.7958407,,,,,,,,
41.00,1473.72,633.06,1473.72,1210.16,,1473.7181,128.63746,245.9046964,374.5421565,,,,,,,,
59.00,1474.01,693.94,1474.01,1347.20,,1474.010941,141.0086663,273.7502456,414.7589119,,,,,,,,
58.00,1474.12,699.12,1474.12,1347.22,,1474.12241,142.0603481,273.755075,415.8154231,,,,,,,,
20.00,1474.22,589.39,1474.22,1086.64,,1474.219931,119.7634722,220.8055191,340.5689913,,,,,,,,
12.00,1474.35,623.63,1474.35,1082.25,,1474.348943,126.7220526,219.9127957,346.6348483,,,,,,,,
40.00,1475.53,635.12,1475.53,1209.95,,1475.534093,129.0560164,245.861733,374.9177494,,,,,,,,
19.00,1476.28,591.04,1476.28,1086.11,,1476.284741,120.0997373,220.6978224,340.7975597,,,,,,,,
39.00,1477.00,637.58,1477.00,1209.72,,1476.99695,129.5559867,245.8146345,375.3706212,,,,,,,,
35.00,1477.20,656.65,1477.20,1208.42,,1477.198125,133.4315629,245.5513982,378.9829611,,,,,,,,
18.00,1478.06,592.99,1478.06,1085.61,,1478.059601,120.4952309,220.5954029,341.0906338,,,,,,,,
38.00,1478.34,640.61,1478.34,1209.42,,1478.342552,130.1716581,245.7533624,375.9250205,,,,,,,,
13.00,1478.85,614.45,1478.85,1082.55,,1478.85087,124.8561494,219.9734619,344.8296112,,,,,,,,
36.00,1478.91,649.76,1478.91,1208.72,,1478.907084,132.0311353,245.6125071,377.6436424,,,,,,,,
37.00,1479.15,644.56,1479.15,1209.07,,1479.153643,130.9738859,245.6822001,376.656086,,,,,,,,
17.00,1479.83,595.33,1479.83,1084.99,,1479.827413,120.9703547,220.4702525,341.4406072,,,,,,,,
14.00,1481.12,607.51,1481.12,1083.04,,1481.119132,123.4465257,220.0728751,343.5194008,,,,,,,,
16.00,1481.22,598.33,1481.22,1084.31,,1481.220823,121.5810855,220.3309785,341.912064,,,,,,,,
15.00,1481.76,602.28,1481.76,1083.64,,1481.759957,122.3839842,220.1958326,342.5798168,,,,,,,,
